file,npts,vmin,vmax,vstep_med,Lmax,Jmax,PDmax,pd_noise_off,L_per_PDV,noise_L_equiv,J_leak,J_rev,EQEmax,L_at_EQEmax,EQE_1,EQE_10,EQE_100,EQE_1000,lum_per_mW
2022-04-07_IrMDQ-top-emitting-3T_d45_p7_jvl_s1_eval.csv,29,-2.0,4.0,0.1,7194.97,45.19938,0.0958997,nan,75026.04303230187,nan,0.04777,0.0722,18.98,877.51,nan,nan,16.147793980276308,18.864398623781938,55723.12577447335
2022-04-16_TB2-TA50-TP50-55Hz_d1_p1_jvl_s1_eval.csv,33,0.0,6.4,0.2,394.54,114.8125,0.0081091,nan,48653.74536689925,nan,16.33938,nan,0.28,352.73,nan,0.017953562467224404,0.04683396072352814,nan,126861.73633440516
2022-04-20_B1_d39_p1_jvl_s1_eval.csv,155,0.0,25.0,0.1,615.01,546.173,0.0025423,nan,241909.22401171303,nan,18.54975,nan,0.04,592.87,nan,nan,0.01,nan,143358.97435897434
2022-04-20_B1_d39_p2_jvl_s1_eval.csv,155,0.0,25.0,0.1,458.47,469.01825,0.0018952,nan,241911.431695482,nan,23.35085,nan,0.03,351.57,nan,nan,0.01,nan,143271.875
2022-04-20_B1_d39_p3_jvl_s1_eval.csv,155,0.0,25.0,0.1,323.58,439.6685,0.0013376,nan,241908.96507614883,nan,22.94318,nan,0.02,196.24,nan,nan,0.01,nan,143813.33333333334
2022-04-20_B1_d39_p5_jvl_s1_eval.csv,155,0.0,25.0,0.1,190.72,550.9295,0.0007884,nan,nan,nan,29.36022,nan,0.01,83.56,nan,nan,0.01,nan,143398.4962406015
2022-04-20_B1_d39_p7_jvl_s1_eval.csv,155,0.0,25.0,0.1,540.26,431.325,0.0022333,nan,241909.8672195308,nan,19.72873,nan,0.04,455.44,nan,nan,0.01,nan,143686.17021276595
2022-04-25_ITO B1_d45_p1_jvl_s1_eval.csv,65,-2.0,30.0,0.5,95.55,9.22641,0.0015799,nan,nan,nan,0.27736,0.37,0.33,95.55,nan,0.061807151372049264,nan,nan,142611.94029850746
2022-04-25_ITO B1_d45_p2_jvl_s1_eval.csv,65,-2.0,30.0,0.5,44.35,8.6155,0.0007333,nan,nan,nan,0.32354,0.43183,0.17,44.35,nan,0.05255345494682426,nan,nan,143064.51612903227
2022-04-25_ITO B1_d45_p3_jvl_s1_eval.csv,65,-2.0,30.0,0.5,65.9,9.67299,0.0010897,nan,nan,nan,0.30094,0.40149,0.22,65.9,nan,0.05115777701246214,nan,nan,143260.8695652174
2022-04-25_ITO B1_d45_p4_jvl_s1_eval.csv,65,-2.0,30.0,0.5,136.52,11.88471,0.0022573,nan,60479.020120928704,nan,0.25649,0.34209,0.37,136.52,nan,0.06489438149575166,0.31977793425226564,nan,143705.26315789475
2022-04-25_ITO B1_d45_p5_jvl_s1_eval.csv,65,-2.0,30.0,0.5,345.44,15.4832,0.0057119,nan,60476.63002433498,nan,0.24018,0.32037,0.72,345.44,nan,0.08022322201641709,0.42322798370922826,nan,143336.09958506224
2022-04-25_ITO B1_d45_p6_jvl_s1_eval.csv,65,-2.0,30.0,0.5,71.33,8.68973,0.0011794,nan,nan,nan,0.25544,0.34066,0.26,71.33,nan,0.061228079394686594,nan,nan,142660.0
2022-04-25_ITO B1_d45_p7_jvl_s1_eval.csv,65,-2.0,30.0,0.5,57.39,8.4786,0.0009489,nan,nan,nan,0.27102,0.36168,0.22,57.39,nan,0.06,nan,nan,143475.0
2022-04-25_ITO B1_d45_p8_jvl_s1_eval.csv,65,-2.0,30.0,0.5,61.55,8.71372,0.0010178,nan,nan,nan,0.25278,0.33724,0.23,61.55,nan,0.057981568586051885,nan,nan,143139.53488372092
2022-04-25_ITO B1_d46_p1_jvl_s1_eval.csv,65,-2.0,30.0,0.5,26.27,9.77549,0.0004344,nan,nan,nan,0.42835,0.57141,0.09,26.27,nan,0.03877303910518459,nan,nan,145944.44444444444
2022-04-25_ITO B1_d46_p2_jvl_s1_eval.csv,65,-2.0,30.0,0.5,51.09,11.36874,0.0008447,nan,nan,nan,0.46452,0.61944,0.14,51.09,nan,0.03717254814306415,nan,nan,141916.66666666666
2022-04-25_ITO B1_d46_p3_jvl_s1_eval.csv,65,-2.0,30.0,0.5,75.09,10.7603,0.0012416,nan,nan,nan,0.36644,0.48884,0.22,75.09,nan,0.05,nan,nan,144403.84615384619
2022-04-25_ITO B1_d46_p4_jvl_s1_eval.csv,65,-2.0,30.0,0.5,46.88,10.38099,0.0007752,nan,nan,nan,0.41092,0.54818,0.15,46.88,nan,0.046075230854202245,nan,nan,142060.60606060608
2022-04-25_ITO B1_d46_p5_jvl_s1_eval.csv,65,-2.0,30.0,0.5,43.29,14.71756,0.0007158,nan,nan,nan,0.61782,0.82429,0.09,43.29,nan,0.02962220276457049,nan,nan,144300.0
2022-04-25_ITO B1_d46_p6_jvl_s1_eval.csv,65,-2.0,30.0,0.5,0.0,0.53176,0.0001213,nan,nan,nan,0.10833,0.15995,nan,nan,nan,nan,nan,nan,nan
2022-04-25_ITO B1_d46_p7_jvl_s1_eval.csv,65,-2.0,30.0,0.5,6.8,12.64521,0.0001124,nan,nan,nan,0.49516,0.66033,0.02,6.14,nan,nan,nan,nan,136000.0
2022-04-25_ITO B1_d46_p8_jvl_s1_eval.csv,65,-2.0,30.0,0.5,0.0,1e-05,5.93e-05,2.447033320370999e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2022-04-26_ITO_d45_p1_jvl_s1_eval.csv,85,-2.0,40.0,0.5,2562.28,115.43975,0.0372509,nan,68784.36666836226,nan,0.18469,0.36972,0.89,901.56,nan,0.05780196509604195,0.3695489077495445,0.89,165843.3656957929
2022-04-26_ITO_d45_p2_jvl_s1_eval.csv,85,-2.0,40.0,0.5,2692.65,407.04712,0.0391462,nan,68784.43835863561,nan,0.2146,119.49669,0.84,973.85,nan,0.04943687474538457,0.3270089196295031,0.8383098654039944,165803.57142857142
2022-04-26_ITO_d45_p3_jvl_s1_eval.csv,85,-2.0,40.0,0.5,2641.96,361.07694,0.0384093,nan,68784.5164416893,nan,0.20835,251.63331,0.78,832.59,nan,0.05040398976538531,0.3203794370774522,0.78,165848.0853735091
2022-04-26_ITO_d45_p4_jvl_s1_eval.csv,85,-2.0,40.0,0.5,2352.83,285.79806,0.0342059,nan,68784.4266487511,nan,0.18393,230.96719,0.76,770.29,nan,0.05682483885957418,0.33532427223285455,0.20047062722166475,165809.0204369274
2022-04-26_ITO_d45_p5_jvl_s1_eval.csv,85,-2.0,40.0,0.5,2059.14,345.55606,0.0299362,nan,68784.47798177766,nan,0.16999,226.17562,0.85,1002.1,nan,0.05791778045580724,0.3539009364250709,0.8498681771337877,165792.27053140095
2022-04-26_ITO_d45_p6_jvl_s1_eval.csv,85,-2.0,40.0,0.5,2320.79,294.11437,0.0337401,nan,68784.55951630033,nan,0.17837,294.11437,0.8,893.85,nan,0.055253557876863604,0.3229335256096994,0.3275481241346119,165889.20657612578
2022-04-26_ITO_d45_p7_jvl_s1_eval.csv,85,-2.0,40.0,0.5,2419.22,341.52519,0.035171,nan,68784.5664894407,nan,0.19068,214.55175,0.9,1046.3,nan,0.05701752015478932,0.35111584728610373,0.603213133478158,165813.5709389993
2022-04-26_ITO_d45_p8_jvl_s1_eval.csv,85,-2.0,40.0,0.5,2218.35,285.62687,0.0322508,nan,68784.51811886855,nan,0.18089,219.71956,0.74,891.97,nan,0.04596575646256224,0.28990743531487384,0.3203228977670374,165795.96412556054
2022-04-26_ITO_d46_p1_jvl_s1_eval.csv,85,-2.0,40.0,0.5,1524.69,78.51087,0.0301114,nan,50635.05060410737,nan,0.28758,0.57719,0.78,805.49,nan,0.04725840053950565,0.30649006557422165,0.76,130874.67811158799
2022-04-26_ITO_d46_p2_jvl_s1_eval.csv,85,-2.0,40.0,0.5,1659.32,331.89394,0.0327702,nan,50634.98290557262,nan,0.29939,95.55006,0.88,921.12,nan,0.050784973155440616,0.315727182258991,0.88,130861.19873817034
2022-04-26_ITO_d46_p3_jvl_s1_eval.csv,85,-2.0,40.0,0.5,1521.91,318.83856,0.0300564,nan,50634.98907705438,nan,0.24909,235.17056,0.83,741.25,nan,0.05843280117422715,0.34647360020602136,0.7928242101335841,130860.70507308685
2022-04-26_ITO_d46_p4_jvl_s1_eval.csv,85,-2.0,40.0,0.5,1733.55,346.25,0.0342361,nan,50634.94483313282,nan,0.28134,219.30837,0.77,1023.56,nan,0.043034520818511474,0.28039386433160324,0.768552054798812,130833.96226415095
2022-04-26_ITO_d46_p5_jvl_s1_eval.csv,85,-2.0,40.0,0.5,1579.75,302.36075,0.0311988,nan,50635.065479566925,nan,0.2942,274.38513,0.8,735.08,nan,0.054058713041146705,0.31751732801924026,0.7527045002085145,130774.00662251655
2022-04-26_ITO_d46_p6_jvl_s1_eval.csv,85,-2.0,40.0,0.5,1661.4,428.69244,0.0328112,nan,50635.03002855173,nan,0.28017,225.77644,0.72,880.48,nan,0.04319407238716597,0.27230630218628943,0.72,130818.8976377953
2022-04-26_ITO_d46_p7_jvl_s1_eval.csv,85,-2.0,40.0,0.5,796.19,276.61269,0.0157242,nan,50635.405378780415,nan,0.27882,276.61269,0.58,757.01,nan,0.030912537440634946,0.21288110517713496,nan,130737.27422003285
2022-04-26_ITO_d46_p8_jvl_s1_eval.csv,85,-2.0,40.0,0.5,1483.7,88.11931,0.0293019,nan,50635.02063743472,nan,0.25231,0.51156,0.63,704.93,nan,0.039626103447939806,0.2430095330933026,0.55608106205706,130837.74250440918
2022-04-29_ITO_d55_p2_jvl_s1_eval.csv,65,-2.0,30.0,0.5,30.39,4.56264,0.0006394,nan,nan,nan,0.15822,0.21101,0.26,30.39,nan,0.12635363426819135,nan,nan,126625.0
2022-04-29_ITO_d55_p2_jvl_s2_eval.csv,85,-2.0,40.0,0.5,1057.25,305.772,0.0222448,nan,47527.92924974864,nan,0.16525,0.22064,0.69,354.2,nan,0.12297626211352447,0.485002837799679,0.511805084987049,124090.37558685447
2022-04-29_ITO_d55_p3_jvl_s1_eval.csv,65,-2.0,30.0,0.5,46.97,7.64861,0.0009882,nan,nan,nan,0.22293,0.29867,0.24,46.97,nan,0.08,nan,nan,123605.26315789473
2022-04-29_ITO_d55_p3_jvl_s2_eval.csv,85,-2.0,40.0,0.5,832.74,74.48606,0.0175212,nan,47527.59079116114,nan,0.23206,0.31552,0.62,453.16,nan,0.07930783382036705,0.38513710854279404,nan,124104.3219076006
2022-04-29_ITO_d56_p1_jvl_s1_eval.csv,85,-2.0,40.0,0.5,195.77,25.50266,0.0047456,nan,41253.801875172816,nan,0.41282,0.55051,0.35,195.77,nan,0.04996336252918665,0.2582150526755747,nan,109368.71508379889
2022-04-29_ITO_d56_p2_jvl_s1_eval.csv,85,-2.0,40.0,0.5,26.79,14.56704,0.0006495,nan,nan,nan,0.48607,0.64884,0.08,26.79,nan,0.04,nan,nan,111625.0
2022-04-29_ITO_d56_p3_jvl_s1_eval.csv,85,-2.0,40.0,0.5,88.38,19.11898,0.0021424,nan,41252.418029868444,nan,0.50534,0.67459,0.21,88.38,nan,0.03505816171955789,nan,nan,109111.11111111111
2022-04-29_ITO_d56_p4_jvl_s1_eval.csv,85,-2.0,40.0,0.5,215.97,43.77071,0.0052352,nan,41253.62669245648,nan,0.46732,0.62427,0.23,104.52,nan,0.045901571078248084,0.22566139807910723,nan,109629.44162436549
2022-04-29_ITO_d56_p5_jvl_s1_eval.csv,85,-2.0,40.0,0.5,626.46,61.26148,0.0151856,nan,41253.7689899107,nan,0.53682,0.71781,0.46,569.17,nan,0.04223444782953292,0.24892741472370278,nan,109329.84293193718
2022-04-29_ITO_d56_p6_jvl_s1_eval.csv,85,-2.0,40.0,0.5,1199.61,311.04962,0.0290789,nan,41253.86521409702,nan,0.53729,0.71826,0.53,635.51,nan,0.04326371254609135,0.24691652105843184,0.4883746321512972,109353.69188696443
2022-04-29_ITO_d56_p7_jvl_s1_eval.csv,85,-2.0,40.0,0.5,543.32,50.17389,0.0131702,nan,41253.73950281697,nan,0.45025,0.60069,0.49,543.32,nan,0.0498582010589331,0.2587189256257093,nan,109319.91951710264
2022-04-29_ITO_d56_p8_jvl_s1_eval.csv,85,-2.0,40.0,0.5,321.15,32.26325,0.0077847,nan,41253.35111415072,nan,0.40207,0.53706,0.45,321.15,nan,0.051831233305046694,0.27528195850379494,nan,109234.69387755102
2022-04-29_ITO_d57_p1_jvl_s1_eval.csv,89,-2.0,42.0,0.5,39.2,19.27396,0.001088,nan,nan,nan,0.60402,0.80439,0.1,36.79,nan,0.030250789058185127,nan,nan,98000.0
2022-04-29_ITO_d57_p2_jvl_s1_eval.csv,89,-2.0,42.0,0.5,324.69,39.07462,0.0090119,nan,36028.64399755892,nan,0.61533,0.79424,0.44,312.74,nan,0.04228161630127332,0.2584540372803485,nan,97212.5748502994
2022-04-29_ITO_d57_p5_jvl_s1_eval.csv,89,-2.0,42.0,0.5,127.89,26.30866,0.0035496,nan,36029.53711317463,nan,4.17616,7.43249,0.25,125.82,nan,0.03,0.2141905310607893,nan,97625.95419847328
2022-04-29_ITO_d57_p6_jvl_s1_eval.csv,89,-2.0,42.0,0.5,199.38,31.18104,0.0055339,nan,36028.48688151088,nan,1.31523,6.97636,0.34,195.66,nan,0.03524772466872476,0.22877413011916853,nan,97258.53658536584
2022-04-29_ITO_d57_p7_jvl_s1_eval.csv,89,-2.0,42.0,0.5,108.58,25.60959,0.0030138,nan,36027.60634415024,nan,0.57481,0.80166,0.22,108.58,nan,0.03484471642821425,0.21,nan,96946.42857142858
2022-04-29_ITO_d58_p1_jvl_s1_eval.csv,85,-2.0,40.0,0.5,79.03,145.77219,0.0012621,nan,62615.3695590923,nan,0.27598,0.36795,0.05,35.93,nan,0.03,nan,nan,151980.76923076925
2022-04-29_ITO_d58_p2_jvl_s1_eval.csv,85,-2.0,40.0,0.5,91.31,247.43006,0.0014583,nan,nan,nan,0.31199,0.42856,0.03,11.18,nan,0.024011681095040014,nan,nan,152183.33333333334
2022-04-29_ITO_d58_p3_jvl_s1_eval.csv,85,-2.0,40.0,0.5,416.04,223.91675,0.0066445,nan,62613.67770098217,nan,0.3166,0.45534,0.13,194.32,nan,nan,0.08,nan,152395.6043956044
2022-04-29_ITO_d58_p4_jvl_s1_eval.csv,85,-2.0,40.0,0.5,246.98,67.98013,0.0039445,nan,62614.54069798696,nan,0.19917,0.37166,0.11,82.8,nan,0.03,0.09,nan,152456.7901234568
2022-04-29_ITO_d58_p5_jvl_s1_eval.csv,85,-2.0,40.0,0.5,604.31,205.26294,0.0096514,nan,62613.86557481995,nan,0.26884,0.35934,0.16,328.92,nan,0.053336007440857744,0.13689321135258922,nan,152603.53535353535
2022-04-29_ITO_d58_p6_jvl_s1_eval.csv,85,-2.0,40.0,0.5,640.91,220.30937,0.0102359,nan,62613.961862672884,nan,0.24047,0.32359,0.11,238.05,nan,0.04473734550481294,0.09,nan,152597.61904761905
2022-04-29_ITO_d58_p8_jvl_s1_eval.csv,85,-2.0,40.0,0.5,453.1,170.79056,0.0072364,nan,62613.903848258604,nan,0.26496,0.35568,0.1,241.46,nan,0.029557225008259518,0.07,nan,152558.92255892255
2022-05-03_ITO_d61_p5_jvl_s1_eval.csv,89,-2.0,42.0,0.5,481.52,361.94362,0.0112093,nan,42957.35114019953,nan,0.00194,0.00258,0.95,4.79,nan,0.7558386705351834,0.6859275318368393,nan,112242.42424242423
2022-05-03_ITO_d61_p6_jvl_s1_eval.csv,89,-2.0,42.0,0.5,458.48,401.326,0.0106731,nan,42956.6122575697,nan,0.0021,0.00281,0.56,4.39,nan,0.44715077700255373,0.32024503415466093,nan,112097.79951100245
2022-05-03_ITO_d61_p7_jvl_s1_eval.csv,89,-2.0,42.0,0.5,528.4,444.84588,0.0123008,nan,42957.06379931242,nan,0.00237,0.00319,1.23,8.67,nan,1.0687145413921537,0.7717404874472558,nan,112186.83651804671
2022-05-03_ITO_d61_p8_jvl_s1_eval.csv,89,-2.0,42.0,0.5,452.09,430.39744,0.0105242,nan,42957.18202317455,nan,0.00301,0.00399,3.11,4.39,nan,1.1848899521814014,0.25747215175929566,nan,112181.14143920595
2022-05-03_ITO_d62_p1_jvl_s1_eval.csv,45,-2.0,20.0,0.5,237.29,218.17356,0.0044811,nan,52954.33145009416,nan,0.00074,0.00156,0.05,6.57,nan,0.04,0.02,nan,134062.14689265535
2022-05-03_ITO_d62_p3_jvl_s1_eval.csv,89,-2.0,42.0,0.5,1385.49,414.86381,0.0261639,nan,52954.327690833605,nan,0.00021,0.00027,0.27,9.01,nan,0.23956029717997152,0.08778795794234402,0.1117930940875937,134252.90697674418
2022-05-03_ITO_d62_p4_jvl_s1_eval.csv,89,-2.0,42.0,0.5,1432.97,419.27481,0.0270604,nan,52953.934241346404,nan,0.00021,0.00029,0.4,5.95,nan,0.27810699832919716,0.19500635051202211,0.08991340400671549,134173.22097378277
2022-05-03_ITO_d62_p5_jvl_s1_eval.csv,89,-2.0,42.0,0.5,1374.28,477.22106,0.0259522,nan,52954.22914099957,nan,0.00027,0.00039,0.37,1292.41,nan,0.26,0.2,0.21646187458634114,134207.03125
2022-05-03_ITO_d62_p6_jvl_s1_eval.csv,89,-2.0,42.0,0.5,785.8,501.35144,0.0148392,nan,52954.441307789195,nan,0.00622,0.00949,0.26,7.53,nan,0.19902314602177443,0.17617365448505612,nan,134095.56313993174
2022-05-03_ITO_d62_p7_jvl_s1_eval.csv,89,-2.0,42.0,0.5,1563.06,624.98844,0.0295172,nan,52954.15650609217,nan,0.0004,0.00063,0.45,6.39,nan,0.2732757068337304,0.1914267368160635,0.12420504576620428,134168.24034334763
2022-05-03_ITO_d62_p8_jvl_s1_eval.csv,89,-2.0,42.0,0.5,574.25,277.92456,0.0108443,nan,52954.35962775603,nan,0.00091,0.00151,0.2,8.17,nan,0.16,0.17,nan,134170.56074766355
2022-05-03_ITO_d63_p1_jvl_s1_eval.csv,89,-2.0,42.0,0.5,24.65,24.90764,0.0022607,nan,10903.702393064093,nan,0.00262,0.00356,0.25,2.96,nan,0.13227988107272848,nan,nan,30432.0987654321
2022-05-03_ITO_d63_p2_jvl_s1_eval.csv,89,-2.0,42.0,0.5,3.61,10.06508,0.0003311,2.5955950934012972e-05,nan,nan,8e-05,0.00015,0.06,3.61,nan,nan,nan,nan,30083.333333333332
2022-05-03_ITO_d63_p3_jvl_s1_eval.csv,89,-2.0,42.0,0.5,29.66,84.5635,0.00272,1.459942498444864e-05,10902.760667947483,0.15917403649509643,1e-05,4e-05,2.46,3.65,nan,0.959244027612792,nan,nan,30577.319587628863
2022-05-03_ITO_d63_p4_jvl_s1_eval.csv,89,-2.0,42.0,0.5,35.17,197.252,0.0032253,nan,10904.016126531244,nan,0.00291,0.00392,0.09,4.69,nan,0.07583305808473839,nan,nan,30582.608695652176
2022-05-03_ITO_d63_p5_jvl_s1_eval.csv,89,-2.0,42.0,0.5,13.29,184.159,0.0012187,nan,10905.340277107318,nan,0.00388,0.00507,0.38,1.14,nan,0.03907489657458096,nan,nan,30906.976744186046
2022-05-03_ITO_d63_p6_jvl_s1_eval.csv,89,-2.0,42.0,0.5,12.14,327.88563,0.0011135,nan,nan,nan,0.00632,0.00866,0.2,1.12,nan,0.05431754410987457,nan,nan,30350.0
2022-05-03_ITO_d63_p7_jvl_s1_eval.csv,89,-2.0,42.0,0.5,11.72,283.12475,0.0010745,nan,10907.398790134948,nan,0.00491,0.00656,0.1,1.76,nan,0.04,nan,nan,30842.105263157893
2022-05-03_Standard-ITO-RED_d22_p1_jvl_s1_eval.csv,29,-2.0,4.0,0.1,11591.21,98.96887,0.3771184,nan,30736.267585470683,nan,0.00072,0.00396,21.15,9.83,nan,21.112602222852967,18.485299734461854,15.37160710214366,85399.02748102852
2022-05-03_Standard-ITO-RED_d22_p4_jvl_s1_eval.csv,29,-2.0,4.0,0.1,11560.88,96.15225,0.3761314,nan,30736.2902480994,nan,0.34074,1.28637,12.52,1423.32,nan,0.9909756464380424,5.15884997412339,12.277367206934134,85395.77485596099
2022-05-03_Standard-ITO-RED_d22_p5_jvl_s1_eval.csv,29,-2.0,4.0,0.1,6790.61,25.54702,0.2209315,nan,30736.293266256842,nan,0.00029,0.00669,22.8,8.81,nan,22.51828309485445,21.167875641881686,20.173330829694045,85394.99496981892
2022-05-03_Standard-ITO-RED_d22_p8_jvl_s1_eval.csv,29,-2.0,4.0,0.1,8950.68,37.02546,0.291209,nan,30736.27356503562,nan,0.00026,0.00354,22.07,8.5,nan,22.022233680691183,20.889026108150624,19.94843850877671,85399.10313901346
2022-05-03_Standard-ITO-RED_d23_p1_jvl_s1_eval.csv,29,-2.0,4.0,0.1,9467.36,50.87001,0.3079786,nan,30740.317507600514,nan,0.00075,0.01592,19.59,58.76,nan,18.550661898275155,19.52109681375786,17.651800335557244,85437.77637397347
2022-05-03_Standard-ITO-RED_d23_p4_jvl_s1_eval.csv,29,-2.0,4.0,0.1,8943.31,37.30146,0.2909309,nan,30740.319297236343,nan,0.00016,0.00282,22.02,8.0,nan,21.664707941286984,20.686631135453382,19.882386277094504,85442.91583070603
2022-05-03_Standard-ITO-RED_d23_p5_jvl_s1_eval.csv,29,-2.0,4.0,0.1,8265.26,75.38187,0.2688736,nan,30740.359347377584,nan,0.9162,1.49762,6.63,4788.99,nan,0.3500673279785377,1.6594507405284005,4.7384153520295715,85437.87471573289
2022-05-03_Standard-ITO-RED_d23_p8_jvl_s1_eval.csv,29,-2.0,4.0,0.1,8145.95,42.77611,0.2649922,nan,30740.31437201293,nan,0.00303,0.03581,19.65,8.68,nan,19.57181009459405,19.092154441650763,17.319004436133998,85441.05307321166
2022-05-03_Standard-ITO-RED_d32_p1_jvl_s1_eval.csv,29,-2.0,4.0,0.1,10047.23,65.48319,0.3274773,9.56087862071264e-06,30680.68053096345,0.293334262557403,0.00021,0.00041,18.73,65.07,nan,16.397704864132137,18.6330493092363,16.371303106614473,85283.33757745523
2022-05-03_Standard-ITO-RED_d32_p4_jvl_s1_eval.csv,29,-2.0,4.0,0.1,9263.87,38.67842,0.3019446,1.4344336861632884e-05,30680.699666303764,0.4400942911640488,2e-05,0.00019,21.48,8.65,nan,21.21097897095573,20.88537439057553,20.041731059922814,85279.11258400074
2022-05-03_Standard-ITO-RED_d32_p5_jvl_s1_eval.csv,29,-2.0,4.0,0.1,9404.07,43.78599,0.3065143,nan,30680.712246213836,nan,0.23947,0.11482,16.87,707.05,nan,6.101048210919464,15.707172581060675,16.744676649894256,85282.21637798131
2022-05-03_Standard-ITO-RED_d32_p8_jvl_s1_eval.csv,29,-2.0,4.0,0.1,10476.34,72.93175,0.3414636,nan,30680.699765027373,nan,0.00104,0.00631,18.29,132.98,nan,9.86812124599969,18.27413048212405,16.027112416322808,85277.49287749288
2022-05-03_Standard-ITO-RED_d33_p1_jvl_s1_eval.csv,34,-2.0,4.5,0.1,6.53,228.48275,0.0027553,nan,0.0,nan,0.01824,0.09109,21.39,6.53,nan,nan,nan,nan,81625.0
2022-05-03_Standard-ITO-RED_d33_p4_jvl_s1_eval.csv,29,-2.0,4.0,0.1,9826.89,67.82681,0.3214823,nan,30567.431270309906,nan,0.02899,0.06482,17.61,228.26,nan,nan,16.915396005823922,16.431671694042688,85029.76551008045
2022-05-03_Standard-ITO-RED_d33_p5_jvl_s1_eval.csv,29,-2.0,4.0,0.1,8874.27,36.35292,0.2903176,4.4736422521252184e-05,30567.44331628072,1.3674780595915605,2e-05,8e-05,20.68,448.17,nan,nan,20.27860487927775,20.17426377553381,85027.01925840758
2022-05-03_Standard-ITO-RED_d33_p8_jvl_s1_eval.csv,29,-2.0,4.0,0.1,8884.68,36.40799,0.2906583,nan,30567.44911600266,nan,0.00141,0.00426,20.66,291.96,nan,13.848943580772684,20.158874707651893,20.16793404483347,85028.9979902383
2022-05-05_220503 blue_d12_p1_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3160.74,46.6202,0.0927659,nan,34072.26893064336,nan,0.00202,0.04129,4.91,405.05,nan,nan,4.7723278003475755,4.828227875850966,60585.393904542834
2022-05-05_220503 blue_d12_p4_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3125.22,46.18607,0.0917233,nan,34072.16735362637,nan,0.00065,0.00071,4.97,144.43,nan,nan,4.877841210217834,4.831565425154562,60578.018995929444
2022-05-05_220503 blue_d12_p5_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3078.38,45.89701,0.0903485,nan,34072.23897123519,nan,0.00057,7e-05,4.88,390.48,nan,nan,4.685497428855586,4.783557788350442,60574.183392365216
2022-05-05_220503 blue_d12_p8_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3213.59,47.97818,0.0943171,nan,34072.27494968202,nan,6e-05,0.00307,4.88,149.05,nan,nan,4.768925066543513,4.7798476505234415,60576.625824693685
2022-05-05_220503 blue_d14_p1_jvl_s1_eval.csv,15,-2.0,4.0,0.2,2210.7,31.50879,0.0628225,nan,35189.54158193237,nan,0.00049,0.00465,4.7,144.65,nan,nan,4.588656423081913,4.604329688794688,62857.54904748365
2022-05-05_220503 blue_d14_p4_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3145.95,47.31547,0.0893999,nan,35189.51566123699,nan,0.00344,0.05922,4.71,149.07,nan,nan,4.556180239701173,4.61822463096762,62856.143856143855
2022-05-05_220503 blue_d14_p5_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3049.96,46.27548,0.0866722,nan,35189.581180128414,nan,0.00066,0.00932,4.67,394.94,nan,nan,4.583190391663217,4.563139504804884,62859.851607584504
2022-05-05_220503 blue_d14_p8_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3149.95,48.01947,0.0895138,nan,35189.55924992568,nan,0.00156,0.0239,4.7,152.0,nan,nan,4.56322567282975,4.5586885839191,62848.16440542697
2022-05-05_220503 blue_d22_p1_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3079.88,45.70834,0.0895371,nan,34397.798384788905,nan,0.00492,0.05657,4.66,406.76,nan,nan,4.156738674571622,4.640330684785644,61242.394114138
2022-05-05_220503 blue_d23_p1_jvl_s1_eval.csv,29,-2.0,4.0,0.1,4189.69,64.57369,0.118337,2.1077893632903646e-05,35404.74384858135,0.7462574249405973,3e-05,0.00013,4.44,186.97,nan,3.4088852708980872,4.348687632935273,4.254054993721918,63288.36858006042
2022-05-05_220503 blue_d23_p4_jvl_s1_eval.csv,15,-2.0,4.0,0.2,2909.64,44.75666,0.0813226,nan,35779.00651476717,nan,0.00592,0.05919,4.38,367.82,nan,nan,3.95585082616913,4.33034099432585,64046.66519920757
2022-05-05_220503 blue_d23_p5_jvl_s1_eval.csv,15,-2.0,4.0,0.2,2924.98,45.35031,0.0817514,nan,35778.906169224865,nan,0.00137,0.00936,4.4,363.96,nan,nan,4.209793922482848,4.320640867902782,64045.9820451062
2022-05-05_220503 blue_d23_p8_jvl_s1_eval.csv,15,-2.0,4.0,0.2,2832.37,44.06918,0.0791631,nan,35778.88044791638,nan,0.00063,0.00171,4.45,133.86,nan,nan,4.390118057409451,4.318395277758731,64051.78652193577
2022-05-05_220503 blue_d24_p1_jvl_s1_eval.csv,15,-2.0,4.0,0.2,2462.2,36.79573,0.0693512,nan,35503.322198012494,nan,0.00011,0.00106,5.17,148.39,nan,nan,5.080162466478322,5.055146920093165,55156.81003584229
2022-05-05_220503 blue_d24_p4_jvl_s1_eval.csv,15,-2.0,4.0,0.2,3127.21,47.26969,0.0880824,nan,35503.26954876402,nan,0.00229,0.02481,5.21,433.13,nan,nan,4.943804026139617,5.133021595495217,55153.61552028219
