file,class,Lmax,J_leak,EQE_100,Eplateau,noiseL,offL,L_min_trust
2021-08-11_BSB4 Cs var_d34_p1_jvl_eval.csv,dead,1.27,266.6585,,,,,
2021-08-11_BSB4 Cs var_d34_p4_jvl_eval.csv,dead,0.51,136.43225,,,,,
2021-08-11_BSB4 Cs var_d34_p5_jvl_eval.csv,dead,0.52,233.09056,,,,,
2021-08-11_BSB4 Cs var_d34_p8_jvl_eval.csv,dead,2.95,0.00014,,,,,
2021-08-11_BSB4 Cs var_d41_p1_jvl_eval.csv,dead,1.09,192.68625,,,,,
2021-08-11_BSB4 Cs var_d41_p4_jvl_eval.csv,leaky,12.4,240.68563,,,,,
2021-08-11_BSB4 Cs var_d41_p5_jvl_eval.csv,dead,5.56,188.63269,,,,,
2021-08-11_BSB4 Cs var_d41_p8_jvl_eval.csv,dead,1.37,0.0,,,,,
2021-08-11_BSB4 Cs var_d42_p1_jvl_eval.csv,dead,2.33,7.91918,,,,,
2021-08-11_BSB4 Cs var_d42_p4_jvl_eval.csv,dead,0.22,0.00011,,,,,
2021-08-11_BSB4 Cs var_d42_p5_jvl_eval.csv,dim,2.29,0.00038,,,,,
2021-08-11_BSB4 Cs var_d42_p8_jvl_eval.csv,dead,0.92,61.14241,,,,,
2021-08-11_BSB4 Cs var_d43_p1_jvl_eval.csv,dead,0.2,0.0,,,,,
2021-08-11_BSB4 Cs var_d43_p4_jvl_eval.csv,dead,0.57,8e-05,,,,,
2021-08-11_BSB4 Cs var_d43_p5_jvl_eval.csv,dead,2.2,219.74444,,,,,
2021-08-11_BSB4 Cs var_d43_p8_jvl_eval.csv,dead,3.26,402.14006,,,,,
2021-08-11_BSB4 Cs var_d44_p1_jvl_eval.csv,dead,1.16,0.51258,,,,,
2021-08-11_BSB4 Cs var_d44_p4_jvl_eval.csv,dead,-0.01,0.00122,,,,,
2021-08-11_BSB4 Cs var_d44_p5_jvl_eval.csv,dead,2.53,0.00537,,,,,
2021-08-11_BSB4 Cs var_d44_p8_jvl_eval.csv,dead,1.99,197.48481,,,,,
2021-08-12_Annealed40nmETL_d31_p4_jvl_eval.csv,marginal,174.79,0.00067,0.7313186155147977,,,,
2021-08-12_Annealed40nmETL_d31_p5_jvl_eval.csv,marginal,213.51,0.00064,0.810602300651527,,,,
2021-08-18_BSB4 pin OLED Al_d11_p1_jvl_eval.csv,dead,2.16,0.58045,,,,,
2021-08-18_BSB4 pin OLED Al_d11_p4_jvl_eval.csv,dead,0.98,0.06654,,,,,
2021-08-18_BSB4 pin OLED Al_d11_p5_jvl_eval.csv,dead,1.77,0.00036,,,,,
2021-08-18_BSB4 pin OLED Al_d11_p8_jvl_eval.csv,dead,1.47,0.01325,,,,,
2021-08-18_BSB4 pin OLED Al_d12_p1_jvl_eval.csv,dead,0.98,0.00582,,,,,
2021-08-18_BSB4 pin OLED Al_d12_p4_jvl_eval.csv,dead,2.29,0.00329,,,,,
2021-08-18_BSB4 pin OLED Al_d12_p5_jvl_eval.csv,dead,0.76,1e-05,,,,,
2021-08-18_BSB4 pin OLED Al_d12_p8_jvl_eval.csv,dead,1.59,0.00014,,,,,
2021-08-18_BSB4 pin OLED Al_d14_p1_jvl_eval.csv,dead,1.86,0.00458,,,,,
2021-08-18_BSB4 pin OLED Al_d14_p4_jvl_eval.csv,dead,0.9,0.00542,,,,,
