file,noiseL,offL,pdnoise,LperPD,Eplateau,n_1_10,n_10_100,gain
2021-08-25_CBP with BSBCz_d33_p5_jvl_eval.csv,1.3797390466229966,0.1710047901852894,3.388737818126389e-05,40715.42623459272,1.8,0,3,
2021-08-25_CBP with BSBCz_d33_p8_jvl_eval.csv,1.6634552552984267,1.3436027944111777,4.085584195953159e-05,40715.236194278106,1.79,0,3,
2021-08-25_CBP with BSBCz_d34_p1_jvl_eval.csv,2.004609624990606,-0.3141520770346551,4.5943319669155625e-05,43632.232921479874,1.9649999999999999,0,3,
2021-08-25_CBP with BSBCz_d34_p4_jvl_eval.csv,1.6917910916005265,-0.9620914152298851,3.8773855560158055e-05,43632.263729246486,1.91,0,3,
2021-08-25_CBP with BSBCz_d34_p8_jvl_eval.csv,1.217236631340803,1.7212864733413058,2.7897729895698204e-05,43632.10325326504,1.52,0,3,
2021-08-25_CBP with BSBCz_d41_p4_jvl_eval.csv,1.3795339629152776,0.8854360244335172,3.8639090048529784e-05,35703.0655013515,1.99,0,4,
2021-08-25_CBP with BSBCz_d41_p5_jvl_eval.csv,2.1468955811620094,3.300733828903395,6.013223324474155e-05,35702.9078302152,2.07,0,4,
2021-08-25_CBP with BSBCz_d41_p8_jvl_eval.csv,0.6234484434960085,4.341473719507083,1.7462119000854394e-05,35702.908877525355,1.92,0,4,
2021-08-25_CBP with BSBCz_d42_p4_jvl_eval.csv,1.001802785152256,1.4065824458318033,3.0127105551129355e-05,33252.540090586364,1.84,0,4,
2021-08-25_CBP with BSBCz_d42_p5_jvl_eval.csv,0.5709654898734952,0.7781105663409691,1.7170557811426966e-05,33252.58830516962,1.76,0,5,
2021-08-25_CBP with BSBCz_d42_p8_jvl_eval.csv,1.2777073004007604,-2.83309904560354,3.842458743653066e-05,33252.33621600399,1.93,0,3,
2021-08-25_CBP with BSBCz_d43_p1_jvl_eval.csv,2.6307536737092385,-6.127663461763398,6.461327884010481e-05,40715.37183895946,1.78,0,4,
2021-08-25_CBP with BSBCz_d43_p4_jvl_eval.csv,1.8182881858264712,1.819975653929515,4.465855448722998e-05,40715.33901408311,1.9,0,3,
2021-08-25_CBP with BSBCz_d43_p5_jvl_eval.csv,1.1805025305267731,2.353343059216402,2.8994092466555724e-05,40715.27784111422,1.855,0,3,
2021-08-25_CBP with BSBCz_d43_p8_jvl_eval.csv,2.007035475534918,4.503129572297433,4.9294189747445315e-05,40715.457254045505,1.73,0,3,
2021-08-25_CBP with BSBCz_d44_p1_jvl_eval.csv,0.9228659927484268,0.8486473247927656,2.115100470426878e-05,43632.25320271289,1.7349999999999999,0,3,
2021-08-25_CBP with BSBCz_d44_p4_jvl_eval.csv,2.1494751130874454,4.131975065566287,4.926343697126929e-05,43632.260460045276,2.145,0,2,
2021-08-25_CBP with BSBCz_d44_p5_jvl_eval.csv,2.4814145231209976,2.5655759988900733,5.687111744989719e-05,43632.24487908288,2.16,0,3,
2021-08-25_CBP with BSBCz_d44_p8_jvl_eval.csv,0.9030309082138086,0.25743001628583245,2.0696430180642803e-05,43632.20615014109,2.05,0,3,
2021-08-25_Seonils-devices_d13_p1_jvl_eval.csv,0.5465785363731204,-0.6881212047360831,1.6283265097093464e-05,33566.88803590649,4.26,0,2,
2021-08-25_Seonils-devices_d13_p5_jvl_eval.csv,1.353321034277081,5.194464983300091,4.031722818955798e-05,33566.81733958056,4.36,0,2,
2021-08-25_Seonils-devices_d32_p4_jvl_eval.csv,0.9604849405422368,-1.0160705055730834,3.3983304724526126e-05,28263.435481866018,18.0,0,1,
2021-08-25_test_d11_p1_jvl_eval.csv,0.5228709820483384,-0.9315322997006795,1.7063582078020233e-05,30642.509858574984,15.53,0,2,
2021-08-25_test_d11_p5_jvl_eval.csv,0.6741999035909275,-0.1470837688208206,2.2002152672459622e-05,30642.451837670964,13.165,0,1,
2021-08-25_test_d11_p8_jvl_eval.csv,1.106989393780132,0.10265231056001786,3.612597172856854e-05,30642.480764184435,15.8,0,2,
2021-08-26_seonils-devices-st-andrews_d11_p4_jvl_eval.csv,0.7904832860587533,0.38899362294588047,2.6011187496921396e-05,30390.12679264691,15.87,0,1,
2021-08-31_GE_d14_p1_jvl_eval.csv,0.20907757785296208,0.24626094617358074,1.8381028867346416e-05,11374.63954612382,0.12,0,4,
