theta_deg,ITO50 + chirped DBR (air): 1-R (%),ITO50 + chirped DBR + Ag: 1-R (%),Ag: 1-R (%),ITO50 + DBR + Ag (re-opt): 1-R (%),LiF only + Ag (no ITO50): 1-R (%),ITO50 + chirped DBR (air): T (%),ITO50 + chirped DBR + Ag: T (%),Ag: T (%),ITO50 + DBR + Ag (re-opt): T (%),LiF only + Ag (no ITO50): T (%),cos.sin (norm)
0.25,6.032744393071139,4.431522470295702,3.746193193902854,3.1979731398977385,3.990673125802465,3.090235581061121,0.013538529622878324,0.023775014158770806,0.004548034061917168,0.018663338520483887,0.00872686779075879
0.7500000000000001,6.027481966992833,4.444412304120581,3.746127036888937,3.197521896500491,3.990905232245083,3.0853125374864803,0.013668737099648505,0.023771463595412292,0.004546587959192796,0.018661371654385018,0.026177945083808236
1.2500000000000002,6.016992028355712,4.49103398614799,3.745996526772119,3.196619276142989,3.991367641490171,3.0755023921867335,0.014121271836234997,0.023764375898668453,0.004543700652647107,0.01865743609615592,0.04362104832119371
1.75,6.001344183836277,4.608197417711373,3.7458052716720367,3.1952650325783596,3.9920567383707035,3.0608767846921086,0.015231362070762158,0.02375377792832675,0.004539381947159569,0.018651528166550968,0.06105086416469395
2.25,5.980642285204924,4.821968899185139,3.745558684394654,3.193458848669575,3.9929670805475803,3.0415425563786314,0.017227618004693104,0.023739709972924284,0.004533646567843824,0.01864364227943968,0.07846208332355664
2.75,5.955023739118519,4.997316562099797,3.7452639828562755,3.1912003991615014,3.9940913753658713,3.0176409882145974,0.018835947326281743,0.023722225746293058,0.004526514181703134,0.018633770863047464,0.09584940217175969
3.25,5.924658553662371,4.841869123199843,3.7449301901064826,3.188489434508897,3.995420449608588,2.9893467505438163,0.017350022398380165,0.02370139237951291,0.004518009426981711,0.018621904258226005,0.11320752436354724
3.7500000000000004,5.889748094497476,4.569663892487033,3.7445681334928724,3.1853258858304647,3.996943212689293,2.9568665372221767,0.014832534419716516,0.023677290405380788,0.00450816195056941,0.018608030596615432,0.13053116244674773
4.25,5.850523518235168,4.552689173166375,3.7441904424060075,3.1817099910233404,3.9986466139807617,2.9204373511304267,0.014730079185714506,0.023650013731854807,0.00449700645384346,0.018592135662336882,0.14781503947338315
4.75,5.807243846479528,4.653717598898526,3.7438115439453163,3.17764244200131,4.000515595146716,2.8803244038965916,0.01563313284117347,0.023619669600331034,0.004484582747317251,0.018574202741668763,0.16505389060707856
5.249999999999999,5.760193641301235,4.584557009192952,3.743447655756876,3.173124552907522,4.002533038530163,2.836818590044374,0.015058098948652615,0.023586378524070566,0.004470935814407147,0.01855421246602352,0.18224246472678207
5.75,5.709680242570097,4.802906564085983,3.7431167752141334,3.168158448992349,4.004679712858103,2.7902334955932235,0.017150871619277086,0.02355027420162418,0.0044561158845194525,0.018532142654457334,0.1993755260263075
6.250000000000001,5.656030530983992,4.530115936353416,3.742838664043144,3.1627472756342083,4.006934217749948,2.7409019048037218,0.014479172752863954,0.02351150339971295,0.004440178515498317,0.01850796816292049,0.2164478556092112
