series,n_o,n_e,n_SPP_Ag,d_ETL_nm,eta_sub,spp,abs,wg
n_o=1.80,1.8000,1.3800,1.5481,100.0,0.973442,0.002054,0.024504,0.000000
n_o=1.80,1.8000,1.3800,1.5481,150.0,0.968841,0.002304,0.028855,0.000000
n_o=1.80,1.8000,1.4000,1.5713,60.0,0.964908,0.007109,0.027983,0.000000
n_o=1.80,1.8000,1.4000,1.5713,100.0,0.972106,0.002230,0.025664,0.000000
n_o=1.80,1.8000,1.4000,1.5713,150.0,0.967706,0.002340,0.029954,0.000000
n_o=1.80,1.8000,1.4200,1.5944,60.0,0.955667,0.011944,0.032389,0.000000
n_o=1.80,1.8000,1.4200,1.5944,100.0,0.970487,0.002481,0.027033,0.000000
n_o=1.80,1.8000,1.4200,1.5944,150.0,0.966415,0.002392,0.031193,0.000000
n_o=1.80,1.8000,1.4400,1.6176,60.0,0.919774,0.048043,0.032183,0.000000
n_o=1.80,1.8000,1.4400,1.6176,100.0,0.968438,0.002858,0.028703,0.000000
n_o=1.80,1.8000,1.4400,1.6176,150.0,0.964918,0.002468,0.032614,0.000000
n_o=1.80,1.8000,1.4600,1.6408,60.0,0.864250,0.110637,0.025113,0.000000
n_o=1.80,1.8000,1.4600,1.6408,100.0,0.965683,0.003472,0.030845,0.000000
n_o=1.80,1.8000,1.4600,1.6408,150.0,0.963131,0.002584,0.034285,0.000000
n_o=1.80,1.8000,1.4800,1.6641,60.0,0.820774,0.158282,0.020944,0.000000
n_o=1.80,1.8000,1.4800,1.6641,100.0,0.961582,0.004600,0.033818,0.000000
n_o=1.80,1.8000,1.4800,1.6641,150.0,0.960912,0.002771,0.036316,0.000000
n_o=1.80,1.8000,1.5000,1.6873,60.0,0.788075,0.193707,0.018218,0.000000
n_o=1.80,1.8000,1.5000,1.6873,100.0,0.954169,0.007277,0.038554,0.000000
n_o=1.80,1.8000,1.5000,1.6873,150.0,0.957993,0.003097,0.038910,0.000000
n_o=1.80,1.8000,1.5200,1.7106,60.0,0.762746,0.220955,0.016299,0.000000
n_o=1.80,1.8000,1.5200,1.7106,100.0,0.930946,0.022399,0.046655,0.000000
n_o=1.80,1.8000,1.5200,1.7106,150.0,0.953773,0.003743,0.042484,0.000000
n_o=1.80,1.8000,1.5400,1.7340,60.0,0.742313,0.242813,0.014875,0.000000
n_o=1.80,1.8000,1.5400,1.7340,100.0,0.862329,0.105364,0.032308,0.000000
n_o=1.80,1.8000,1.5400,1.7340,150.0,0.946536,0.005382,0.048082,0.000000
n_o=1.80,1.8000,1.5600,1.7574,60.0,0.725164,0.261061,0.013775,0.000000
n_o=1.80,1.8000,1.5600,1.7574,100.0,0.825594,0.150131,0.024275,0.000000
n_o=1.80,1.8000,1.5600,1.7574,150.0,0.927550,0.013812,0.058639,0.000000
n_o=1.80,1.8000,1.5800,1.7808,60.0,0.710267,0.276835,0.012898,0.000000
n_o=1.80,1.8000,1.5800,1.7808,100.0,0.808571,0.171046,0.020383,0.000000
n_o=1.80,1.8000,1.5800,1.7808,150.0,0.873005,0.090439,0.036556,0.000000
n_o=1.80,1.8000,1.6000,1.8042,60.0,0.696954,0.290867,0.012179,0.000000
n_o=1.80,1.8000,1.6000,1.8042,100.0,0.799253,0.182603,0.018144,0.000000
n_o=1.80,1.8000,1.6000,1.8042,150.0,0.867165,0.107520,0.025315,0.000000
