device,n_substrate,theta_horizontal,eta_sub,spp,wg,abs,Aprime,p_escape,eta_ext,EQE
proposed,1.80,0.60,0.952162,0.031827,0.000000,0.016011,0.030993,0.305000,0.934034,0.889352
proposed,1.80,0.61,0.952765,0.031243,0.000000,0.015992,0.030993,0.305000,0.934034,0.889915
proposed,1.80,0.62,0.953368,0.030658,0.000000,0.015974,0.030993,0.305000,0.934034,0.890479
proposed,1.80,0.63,0.953971,0.030073,0.000000,0.015955,0.030993,0.305000,0.934034,0.891042
proposed,1.80,0.64,0.954575,0.029488,0.000000,0.015937,0.030993,0.305000,0.934034,0.891606
proposed,1.80,0.65,0.955179,0.028903,0.000000,0.015918,0.030993,0.305000,0.934034,0.892170
proposed,1.80,0.66,0.955783,0.028318,0.000000,0.015900,0.030993,0.305000,0.934034,0.892734
proposed,1.80,0.67,0.956387,0.027732,0.000000,0.015881,0.030993,0.305000,0.934034,0.893298
proposed,1.80,0.68,0.956991,0.027146,0.000000,0.015863,0.030993,0.305000,0.934034,0.893863
proposed,1.80,0.69,0.957596,0.026560,0.000000,0.015844,0.030993,0.305000,0.934034,0.894428
proposed,1.80,0.70,0.958201,0.025974,0.000000,0.015825,0.030993,0.305000,0.934034,0.894993
proposed,1.80,0.71,0.958806,0.025387,0.000000,0.015807,0.030993,0.305000,0.934034,0.895558
proposed,1.80,0.72,0.959411,0.024800,0.000000,0.015788,0.030993,0.305000,0.934034,0.896123
proposed,1.80,0.73,0.960017,0.024213,0.000000,0.015770,0.030993,0.305000,0.934034,0.896689
proposed,1.80,0.74,0.960623,0.023626,0.000000,0.015751,0.030993,0.305000,0.934034,0.897255
proposed,1.80,0.75,0.961229,0.023038,0.000000,0.015733,0.030993,0.305000,0.934034,0.897821
proposed,1.80,0.76,0.961836,0.022450,0.000000,0.015714,0.030993,0.305000,0.934034,0.898388
proposed,1.80,0.77,0.962442,0.021862,0.000000,0.015695,0.030993,0.305000,0.934034,0.898954
proposed,1.80,0.78,0.963049,0.021274,0.000000,0.015677,0.030993,0.305000,0.934034,0.899521
proposed,1.80,0.79,0.963656,0.020686,0.000000,0.015658,0.030993,0.305000,0.934034,0.900088
