pitch_over_r,lens_shape,aspect_ratio,p_single_pass,eta_ext_Al,EQE_Al,eta_ext_Ag,EQE_Ag
2.8,cap,0.20,0.271390,0.455314,0.383137,0.758410,0.725181
2.8,cap,0.30,0.273625,0.538291,0.452960,0.831368,0.794942
2.8,cap,0.40,0.275896,0.579721,0.487822,0.858575,0.820956
2.8,cap,0.50,0.277944,0.601005,0.505733,0.869880,0.831766
2.8,cap,0.60,0.279897,0.613599,0.516330,0.873891,0.835601
2.8,cap,0.70,0.282094,0.621302,0.522812,0.871976,0.833771
2.8,cap,0.80,0.283874,0.628114,0.528544,0.865329,0.827415
2.8,cap,0.90,0.285513,0.652238,0.548844,0.876885,0.838464
2.8,cap,1.00,0.286869,0.677870,0.570413,0.895547,0.856309
2.8,ellipsoid,1.10,0.287756,0.682067,0.573944,0.896080,0.856818
2.8,ellipsoid,1.20,0.288290,0.682480,0.574292,0.894415,0.855226
2.8,ellipsoid,1.30,0.288744,0.682369,0.574198,0.893286,0.854147
2.8,ellipsoid,1.40,0.289284,0.682316,0.574154,0.893224,0.854088
2.8,ellipsoid,1.50,0.289775,0.681720,0.573653,0.892940,0.853816
