angle_deg,HATCN 5 / Ag 8_air,MoOx 5 / Ag 8_air,ITO 70 (열처리 X)_air,ITO 70 (열처리 O)_air,IZO 70_air,HATCN 5 / Ag 8_n1.8,MoOx 5 / Ag 8_n1.8,ITO 70 (열처리 X)_n1.8,ITO 70 (열처리 O)_n1.8,IZO 70_n1.8
58,18.6882,43.9148,4.0763,1.2606,3.3534,6.2061,16.2409,1.0829,0.4153,1.1829
59,18.1638,43.3753,4.2304,1.3231,3.5104,6.2523,16.3142,1.1024,0.4199,1.1935
60,17.6734,42.8135,4.3795,1.3888,3.6752,6.3009,16.3903,1.1227,0.4245,1.2039
61,17.2214,42.2431,4.5222,1.4579,3.8484,6.3522,16.4693,1.1439,0.4290,1.2140
62,16.8103,41.6755,4.6573,1.5305,4.0305,6.4063,16.5515,1.1661,0.4336,1.2237
63,16.4412,41.1204,4.7833,1.6071,4.2222,6.4637,16.6371,1.1894,0.4381,1.2331
64,16.1144,40.5855,4.8987,1.6879,4.4244,6.5246,16.7263,1.2139,0.4426,1.2419
65,15.8294,40.0770,5.0019,1.7733,4.6377,6.5895,16.8195,1.2398,0.4470,1.2500
66,15.5850,39.6000,5.0914,1.8636,4.8633,6.6588,16.9170,1.2672,0.4512,1.2574
67,15.3798,39.1583,5.1655,1.9595,5.1021,6.7331,17.0188,1.2962,0.4553,1.2639
68,15.2117,38.7548,5.2226,2.0613,5.3553,6.8128,17.1254,1.3271,0.4592,1.2693
69,15.0784,38.3913,5.2608,2.1698,5.6241,6.8986,17.2368,1.3602,0.4628,1.2733
70,14.9769,38.0690,5.2786,2.2855,5.9097,6.9912,17.3532,1.3955,0.4660,1.2756
71,14.9037,37.7881,5.2742,2.4093,6.2137,7.0915,17.4746,1.4335,0.4687,1.2761
72,14.8548,37.5479,5.2461,2.5420,6.5373,7.2003,17.6008,1.4743,0.4708,1.2742
73,14.8249,37.3467,5.1925,2.6848,6.8821,7.3186,17.7314,1.5182,0.4722,1.2694
74,14.8079,37.1813,5.1122,2.8387,7.2493,7.4479,17.8659,1.5655,0.4725,1.2614
75,14.7960,37.0466,5.0038,3.0052,7.6399,7.5896,18.0033,1.6163,0.4716,1.2493
76,14.7793,36.9353,4.8661,3.1860,8.0541,7.7454,18.1420,1.6708,0.4691,1.2324
77,14.7455,36.8363,4.6983,3.3831,8.4913,7.9179,18.2798,1.7288,0.4646,1.2100
78,14.6790,36.7337,4.4997,3.5991,8.9489,8.1097,18.4135,1.7900,0.4578,1.1809
79,14.5602,36.6040,4.2699,3.8372,9.4211,8.3249,18.5384,1.8535,0.4480,1.1440
80,14.3644,36.4135,4.0090,4.1018,9.8975,8.5681,18.6478,1.9174,0.4346,1.0983
