quantity,x,HATCN 5 / Ag 7,HATCN 5 / Ag 8,TCO 50 k=0.01,TCO 50 k=0.03,TCO 50 k=0.05,TCO 50 k=0.10
A_vs_wavelength_pct_at_0deg,665,3.2043,3.2010,0.5055,1.5026,2.4814,4.8517
A_vs_wavelength_pct_at_0deg,670,3.2693,3.2966,0.5069,1.5065,2.4877,4.8632
A_vs_wavelength_pct_at_0deg,675,3.4060,3.3883,0.5084,1.5108,2.4945,4.8757
A_vs_wavelength_pct_at_0deg,680,3.4936,3.4515,0.5100,1.5154,2.5019,4.8894
A_vs_wavelength_pct_at_0deg,685,3.6390,3.6104,0.5116,1.5202,2.5098,4.9039
A_vs_wavelength_pct_at_0deg,690,3.6772,3.6664,0.5134,1.5253,2.5180,4.9192
A_vs_wavelength_pct_at_0deg,695,3.7715,3.7949,0.5152,1.5307,2.5267,4.9353
A_vs_wavelength_pct_at_0deg,700,3.9270,4.0393,0.5171,1.5362,2.5356,4.9521
A_vs_wavelength_pct_at_0deg,705,4.0908,4.0693,0.5190,1.5419,2.5449,4.9693
A_vs_wavelength_pct_at_0deg,710,4.0252,4.1117,0.5210,1.5477,2.5544,4.9871
A_vs_wavelength_pct_at_0deg,715,4.2473,4.2484,0.5231,1.5537,2.5640,5.0053
A_vs_wavelength_pct_at_0deg,720,4.2131,4.3620,0.5252,1.5597,2.5739,5.0238
A_vs_wavelength_pct_at_0deg,725,4.4091,4.3672,0.5272,1.5659,2.5839,5.0426
A_vs_wavelength_pct_at_0deg,730,4.5421,4.4982,0.5294,1.5721,2.5940,5.0617
A_vs_wavelength_pct_at_0deg,735,4.6683,4.7198,0.5315,1.5783,2.6042,5.0809
A_vs_wavelength_pct_at_0deg,740,4.5975,4.8290,0.5336,1.5846,2.6144,5.1003
A_vs_wavelength_pct_at_0deg,745,5.0010,5.0980,0.5358,1.5909,2.6247,5.1197
A_vs_wavelength_pct_at_0deg,750,4.7896,5.0019,0.5379,1.5972,2.6350,5.1393
A_vs_wavelength_pct_at_0deg,755,5.1470,5.5147,0.5401,1.6036,2.6453,5.1588
A_vs_wavelength_pct_at_0deg,760,5.2224,5.3601,0.5422,1.6098,2.6555,5.1782
A_vs_wavelength_pct_at_0deg,765,5.5948,5.8101,0.5444,1.6161,2.6658,5.1977
A_vs_wavelength_pct_at_0deg,770,5.9044,5.9692,0.5465,1.6224,2.6760,5.2170
A_vs_wavelength_pct_at_0deg,775,5.8438,6.0410,0.5486,1.6285,2.6861,5.2362
A_vs_wavelength_pct_at_0deg,780,5.7073,6.2522,0.5507,1.6347,2.6961,5.2553
A_vs_wavelength_pct_at_0deg,785,6.1011,6.4080,0.5528,1.6408,2.7060,5.2742
A_vs_wavelength_pct_at_0deg,790,5.8213,6.2775,0.5548,1.6468,2.7159,5.2930
A_vs_wavelength_pct_at_0deg,795,6.1391,6.2807,0.5568,1.6527,2.7256,5.3115
A_vs_wavelength_pct_at_0deg,800,6.7407,6.3085,0.5588,1.6586,2.7352,5.3298
A_vs_angle_pct_at_550nm,0,2.0942,2.0100,0.5545,1.6499,2.7276,5.3465
A_vs_angle_pct_at_550nm,1,2.0947,2.0104,0.5547,1.6505,2.7286,5.3485
A_vs_angle_pct_at_550nm,2,2.0960,2.0116,0.5553,1.6523,2.7317,5.3544
A_vs_angle_pct_at_550nm,3,2.0982,2.0136,0.5563,1.6554,2.7367,5.3643
A_vs_angle_pct_at_550nm,4,2.1013,2.0164,0.5578,1.6597,2.7438,5.3781
A_vs_angle_pct_at_550nm,5,2.1054,2.0201,0.5596,1.6652,2.7529,5.3959
A_vs_angle_pct_at_550nm,6,2.1104,2.0247,0.5619,1.6719,2.7640,5.4176
A_vs_angle_pct_at_550nm,7,2.1165,2.0302,0.5646,1.6799,2.7772,5.4434
A_vs_angle_pct_at_550nm,8,2.1236,2.0367,0.5677,1.6891,2.7924,5.4731
