sample7R,,
Wavelength (nm),%R,
850,14.079772,
848,13.59039402,
846,13.71958542,
844,13.92364216,
842,14.19686508,
840,13.82299232,
838,13.70049095,
836,13.98642826,
834,13.83215141,
832,13.89927006,
830,13.51721287,
828,13.70841122,
826,13.99793816,
824,13.65483093,
822,14.13393784,
820,14.08836079,
818,13.5808382,
816,14.26576233,
814,14.35310364,
812,13.77487183,
810,13.39849854,
808,13.96339512,
806,13.69708633,
804,14.0697937,
802,14.1157074,
800,13.85840321,
798,13.92952919,
796,13.64767265,
794,13.99271011,
792,13.69467831,
790,14.05164719,
788,13.7607069,
786,13.9485445,
784,13.56493092,
782,14.01131153,
780,13.8886776,
778,13.81809711,
776,13.99592304,
774,13.88123226,
772,13.68494606,
770,13.89332581,
768,13.97810555,
766,13.8850317,
764,14.02028179,
762,14.05996799,
760,13.99858475,
758,13.7955265,
756,14.06315613,
754,13.72494411,
752,14.12847614,
750,13.86223888,
748,13.93397427,
746,14.05635643,
744,14.11343479,
742,14.19059944,
740,14.08033562,
738,13.97011566,
736,14.21389771,
734,14.07007694,
732,14.11205196,
730,14.19254875,
728,14.2217617,
726,14.07834148,
724,14.19469738,
722,14.16259003,
720,14.26226616,
718,14.32654572,
716,14.32552528,
714,14.19415951,
712,14.23993587,
710,14.35623169,
708,14.31395531,
706,14.4346323,
704,14.53167152,
702,14.33942318,
700,14.46661377,
698,14.50447845,
696,14.37575626,
694,14.50679779,
692,14.52636242,
690,14.63028526,
688,14.5554285,
686,14.65950775,
684,14.78735542,
682,14.67126465,
680,14.74136829,
678,14.71703815,
676,14.85302258,
674,14.83128643,
672,14.9633007,
670,14.92016792,
668,14.92228794,
666,14.87386227,
664,14.87173462,
662,14.94737816,
660,15.07262039,
658,15.11811066,
656,15.00418663,
654,15.02330112,
652,15.12047768,
650,15.0704937,
648,15.14786339,
646,15.23862648,
644,15.26454353,
642,15.32979298,
640,15.3583374,
638,15.3231535,
636,15.41358089,
634,15.48260498,
632,15.40652084,
630,15.50555515,
628,15.49857426,
626,15.53838539,
624,15.65541744,
622,15.69455719,
620,15.70980072,
618,15.69405746,
616,15.68816566,
614,15.81236553,
612,15.75788116,
610,15.87847328,
608,15.80898285,
606,15.95488071,
604,15.92728806,
602,16.0064373,
600,15.96819592,
598,15.9723978,
596,15.96784019,
594,16.09613991,
592,16.04738808,
590,16.05495644,
588,16.15851784,
586,16.12727165,
584,16.25879478,
582,16.20112801,
580,16.24560165,
578,16.22846794,
576,16.31347466,
574,16.24728012,
572,16.32807159,
570,16.34926414,
568,16.24653625,
566,16.26153946,
564,16.37329102,
562,16.36392403,
560,16.34129143,
558,16.35905075,
556,16.37931824,
554,16.37070084,
552,16.34975433,
550,16.42226028,
548,16.4567337,
546,16.39929771,
544,16.37498093,
542,16.39066696,
540,16.3534565,
538,16.43444252,
536,16.3916893,
534,16.36835098,
532,16.40190315,
530,16.45943451,
528,16.33974075,
526,16.35712242,
524,16.3489399,
522,16.30405617,
520,16.28001213,
518,16.21655655,
516,16.2126503,
514,16.13115883,
512,16.12125587,
510,16.15336609,
508,16.07021713,
506,16.10560417,
504,15.94894123,
502,15.96532631,
500,15.88638592,
498,15.90068531,
496,15.79778385,
494,15.75972843,
492,15.76958275,
490,15.71504021,
488,15.63829041,
486,15.65611362,
484,15.55612946,
482,15.53013515,
480,15.58161354,
478,15.32843399,
476,15.32551765,
474,15.23728371,
472,15.15211582,
470,15.1018219,
468,14.99167347,
466,14.88865757,
464,15.09152031,
462,14.97198296,
460,14.7774353,
458,14.56738663,
456,14.58313751,
454,14.2940712,
452,14.57299423,
450,14.49063396,
448,14.38398933,
446,14.19922829,
444,14.21613884,
442,14.14301205,
440,13.94338036,
438,13.82975292,
436,13.9245491,
434,13.54639721,
432,13.71514511,
430,13.57748318,
428,13.41974545,
426,13.10604191,
424,13.56221771,
422,13.28862762,
420,13.38321972,
418,12.67471027,
416,12.78693962,
414,12.85842705,
412,12.62695313,
410,12.67169857,
408,12.49703121,
406,12.3331089,
404,12.29367447,
402,12.29750443,
400,12.12288857,
398,13.03442383,
396,12.50398159,
394,12.15983391,
392,12.00447941,
390,12.39303207,
388,12.20152378,
386,11.67831135,
384,11.66967487,
382,12.01686001,
380,12.20927715,
378,11.9462595,
376,11.50619125,
374,13.0694418,
372,12.58045006,
370,12.1518898,
368,12.46523952,
366,12.64460278,
364,11.27773476,
362,11.4654932,
360,13.47544384,
358,13.3302803,
356,11.36566162,
354,10.5686636,
352,11.80611897,
350,11.90903282,

