sample1T,,
Wavelength (nm),%T,
850,57.43598938,
848,57.54325485,
846,57.45614243,
844,57.63541412,
842,57.67841339,
840,57.55284882,
838,57.3568573,
836,57.53221512,
834,57.63882446,
832,57.64551926,
830,57.5491066,
828,57.89327621,
826,58.05306244,
824,57.68740082,
822,57.94615173,
820,57.88596725,
818,57.84093857,
816,57.91546249,
814,57.90423203,
812,58.0160675,
810,58.17583084,
808,57.76560211,
806,57.97294235,
804,58.32234192,
802,58.36255646,
800,58.12759399,
798,58.57640076,
796,58.56994247,
794,58.6435318,
792,58.54679489,
790,58.84649658,
788,58.80344009,
786,58.98488235,
784,58.85008621,
782,59.27180099,
780,59.20246887,
778,59.29404068,
776,59.46044922,
774,59.62149048,
772,59.66048813,
770,59.64366913,
768,59.88269043,
766,59.54886627,
764,59.97447968,
762,59.92501831,
760,60.0701828,
758,60.12390137,
756,60.27508545,
754,60.29685593,
752,60.50961685,
750,60.50322723,
748,60.6071701,
746,60.62012482,
744,60.67603302,
742,60.85873795,
740,61.09503937,
738,61.11530685,
736,61.06413651,
734,61.20039749,
732,61.28056717,
730,61.40332031,
728,61.4102478,
726,61.58816147,
724,61.80023956,
722,61.77154922,
720,61.97859573,
718,62.05805588,
716,62.15429306,
714,62.10519791,
712,62.35956573,
710,62.47348022,
708,62.47740555,
706,62.59299088,
704,62.74465942,
702,62.74147797,
700,62.83705902,
698,62.94436646,
696,63.09241486,
694,63.12344742,
692,63.32101822,
690,63.50505447,
688,63.52846146,
686,63.58055496,
684,63.72010803,
682,63.87037659,
680,63.94099045,
678,64.06458282,
676,64.13213348,
674,64.2633667,
672,64.39456177,
670,64.45528412,
668,64.62600708,
666,64.6457901,
664,64.80505371,
662,64.98016357,
660,65.01468658,
658,65.10121918,
656,65.1611557,
654,65.32527924,
652,65.41915894,
650,65.51528931,
648,65.53125,
646,65.77482605,
644,65.80901337,
642,65.96688843,
640,66.07211304,
638,66.19326782,
636,66.32782745,
634,66.42650604,
632,66.51718903,
630,66.59835815,
628,66.79238892,
626,66.81884003,
624,67.0772171,
622,67.04794312,
620,67.22366333,
618,67.34210968,
616,67.4005661,
614,67.62361908,
612,67.72553253,
610,67.77207184,
608,67.93881226,
606,68.03556061,
604,68.17101288,
602,68.35273743,
600,68.35697174,
598,68.4522171,
596,68.58565521,
594,68.70780945,
592,68.8022995,
590,68.80148315,
588,68.98567963,
586,69.07485199,
584,69.15393829,
582,69.28761292,
580,69.37461853,
578,69.45658875,
576,69.6764679,
574,69.72299194,
572,69.89983368,
570,69.97693634,
568,70.04673767,
566,70.15290833,
564,70.28417969,
562,70.38515472,
560,70.51611328,
558,70.62699127,
556,70.70330048,
554,70.86833954,
552,70.90865326,
550,71.08596802,
548,71.09262085,
546,71.22163391,
544,71.22805786,
542,71.42565918,
540,71.47289276,
538,71.56156158,
536,71.63982391,
534,71.73939514,
532,71.87641144,
530,71.97288513,
528,72.04298401,
526,72.10263824,
524,72.20821381,
522,72.28605652,
520,72.32701111,
518,72.42392731,
516,72.58158112,
514,72.51442719,
512,72.6477356,
510,72.7784729,
508,72.78943634,
506,72.82757568,
504,72.92751312,
502,72.97219849,
500,73.01071167,
498,73.08900452,
496,73.1102829,
494,73.25589752,
492,73.30718231,
490,73.28631592,
488,73.48590088,
486,73.4200592,
484,73.44696045,
482,73.4765625,
480,73.55076599,
478,73.61632538,
476,73.5688858,
474,73.5792923,
472,73.62665558,
470,73.56440735,
468,73.74874115,
466,73.71496582,
464,73.81260681,
462,73.79194641,
460,73.75773621,
458,73.844841,
456,73.818367,
454,73.81950378,
452,74.04286957,
450,73.99700928,
448,73.90410614,
446,73.88365173,
444,73.98175049,
442,74.11418915,
440,74.07835388,
438,74.06655121,
436,73.99819183,
434,74.00428772,
432,74.03066254,
430,74.04881287,
428,74.09329987,
426,74.21374512,
424,74.30808258,
422,74.34542847,
420,74.22551727,
418,74.25733185,
416,74.32035065,
414,74.19709778,
412,74.18519592,
410,74.18416595,
408,74.17425537,
406,74.29846191,
404,74.2808609,
402,74.2649765,
400,74.68418121,
398,74.79299164,
396,74.61828613,
394,74.46788788,
392,74.54665375,
390,74.24043274,
388,73.97026062,
386,73.98661041,
384,74.06095886,
382,74.72888947,
380,74.79434967,
378,73.76686859,
376,73.48329163,
374,73.90198517,
372,73.49925995,
370,72.69625092,
368,72.026474,
366,72.81787109,
364,72.03874969,
362,71.10889435,
360,70.85497284,
358,71.50199127,
356,69.81854248,
354,66.62438202,
352,67.22046661,
350,66.76070404,
348,57.93950653,
346,54.33678055,
344,54.90054321,
342,55.45027924,
340,57.70023346,
338,55.87361526,
336,55.34764099,
334,55.24581146,
332,55.35647202,
330,52.71356201,
328,54.13939285,
326,51.32908249,
324,51.23092651,
322,51.78539276,
320,47.25084305,
318,48.29368591,
316,47.92330933,
314,46.66583633,
312,43.79498291,
310,42.6055336,
308,41.01853561,
306,39.37861252,
304,37.01467896,
302,35.86660767,
300,34.37476349,

