sample4R,,
Wavelength (nm),%R,
850,8.175193787,
848,8.457317352,
846,7.972373009,
844,8.463582993,
842,8.260364532,
840,8.359980583,
838,7.670333385,
836,8.282611847,
834,7.883645058,
832,8.149077415,
830,8.192240715,
828,8.192420959,
826,8.490992546,
824,8.098160744,
822,8.161439896,
820,8.011217117,
818,7.778645992,
816,8.471819878,
814,8.555244446,
812,8.584523201,
810,8.009327888,
808,8.21708107,
806,7.687200546,
804,8.618022919,
802,8.310643196,
800,8.145059586,
798,8.257511139,
796,7.979990005,
794,8.233634949,
792,7.718919754,
790,7.867800236,
788,8.139638901,
786,7.989163876,
784,7.7332654,
782,7.988882065,
780,8.071040154,
778,7.917940617,
776,7.73038435,
774,7.983200073,
772,7.898562431,
770,7.869648933,
768,7.991472721,
766,8.000741959,
764,8.081093788,
762,8.045279503,
760,8.055153847,
758,7.968951702,
756,8.054470062,
754,7.957027912,
752,8.133422852,
750,7.966025352,
748,8.052422523,
746,7.987633228,
744,7.887917519,
742,8.054428101,
740,8.022115707,
738,7.973700047,
736,7.939261913,
734,8.022827148,
732,7.949879646,
730,8.039643288,
728,7.975487232,
726,7.816071033,
724,8.005746841,
722,7.955692768,
720,7.969800472,
718,7.919366837,
716,7.958206654,
714,7.840361595,
712,7.926895618,
710,8.029484749,
708,7.90143013,
706,7.84796381,
704,7.902087212,
702,7.880547047,
700,7.945978642,
698,7.93699789,
696,7.95152092,
694,7.932416439,
692,7.851142406,
690,8.013783455,
688,7.991431713,
686,7.898961544,
684,8.016906738,
682,7.973497391,
680,7.990221024,
678,7.907841206,
676,7.948133945,
674,7.968110085,
672,8.002167702,
670,7.954598427,
668,7.988307476,
666,7.888513565,
664,7.870137691,
662,7.995631695,
660,8.023318291,
658,7.992692471,
656,7.942252636,
654,7.917449474,
652,7.82371521,
650,7.895614147,
648,8.007864952,
646,7.900146484,
644,7.945759773,
642,7.970975399,
640,8.042694092,
638,7.940010548,
636,7.972427368,
634,7.935632229,
632,8.027030945,
630,7.956729889,
628,7.959046841,
626,7.918663502,
624,8.007790565,
622,7.985652447,
620,8.059820175,
618,7.966060162,
616,7.971693516,
614,8.001162529,
612,7.879103184,
610,8.01063633,
608,7.953540802,
606,8.02120018,
604,8.018425941,
602,8.049757004,
600,8.063337326,
598,8.038785934,
596,7.954978943,
594,8.02093029,
592,7.982160091,
590,8.023705482,
588,8.085753441,
586,8.046062469,
584,8.083782196,
582,8.057135582,
580,8.079363823,
578,8.067955971,
576,8.075860977,
574,8.085144043,
572,8.065857887,
570,8.097548485,
568,8.066045761,
566,8.108836174,
564,8.072061539,
562,8.119419098,
560,8.084095001,
558,8.117981911,
556,8.164360046,
554,8.109625816,
552,8.075232506,
550,8.147632599,
548,8.187167168,
546,8.175020218,
544,8.128634453,
542,8.169863701,
540,8.198871613,
538,8.150273323,
536,8.12969017,
534,8.200275421,
532,8.214727402,
530,8.285758018,
528,8.225292206,
526,8.202924728,
524,8.250513077,
522,8.236763954,
520,8.164818764,
518,8.181962013,
516,8.245781898,
514,8.191605568,
512,8.299257278,
510,8.35537529,
508,8.261366844,
506,8.256302834,
504,8.292786598,
502,8.267719269,
500,8.271975517,
498,8.409992218,
496,8.362905502,
494,8.372253418,
492,8.326869011,
490,8.421208382,
488,8.350395203,
486,8.348504066,
484,8.353121758,
482,8.443796158,
480,8.350440979,
478,8.498077393,
476,8.426697731,
474,8.519654274,
472,8.429634094,
470,8.426132202,
468,8.540873528,
466,8.468878746,
464,8.586064339,
462,8.573141098,
460,8.498225212,
458,8.460076332,
456,8.487838745,
454,8.62237072,
452,8.776472092,
450,8.776704788,
448,8.609595299,
446,8.639416695,
444,8.687327385,
442,8.817931175,
440,8.767453194,
438,8.82022953,
436,8.778551102,
434,8.762895584,
432,8.782258987,
430,8.859713554,
428,8.930809975,
426,8.866312027,
424,9.165046692,
422,9.162706375,
420,9.120373726,
418,9.064064026,
416,9.009758949,
414,9.19288063,
412,9.303211212,
410,9.257759094,
408,9.15878582,
406,8.98404026,
404,9.288578033,
402,9.302577972,
400,9.522984505,
398,9.350734711,
396,9.546521187,
394,9.488476753,
392,9.389668465,
390,9.540349007,
388,9.580953598,
386,9.473725319,
384,9.842768669,
382,10.53043365,
380,10.28535175,
378,10.55695152,
376,10.30824089,
374,10.49905968,
372,11.12187195,
370,10.45528507,
368,10.59623909,
366,11.22559166,
364,10.64099598,
362,9.815120697,
360,11.43364239,
358,12.23793888,
356,11.61085796,
354,11.22014427,
352,11.36013222,
350,10.73629284,
348,18.02329636,
346,12.56874657,
344,11.77543068,
342,13.66562557,
340,15.03752041,
338,12.25551319,
336,12.42236519,
334,14.44648838,
332,13.22406578,
330,12.72512817,
328,13.95609379,
326,13.49514866,
324,10.58731461,
322,14.1906786,
320,8.929325104,
318,12.85920906,
316,12.81120491,
314,14.20508957,
312,12.68805885,
310,12.73476791,
308,13.35774994,
306,14.5866785,
304,12.85878849,
302,13.87173653,
300,12.87408352,

