sampleR,,
Wavelength (nm),%R,
850,39.68128586,
848,39.55053711,
846,39.65322113,
844,39.50593567,
842,39.28669357,
840,39.02234268,
838,38.6216507,
836,38.85432816,
834,38.42784882,
832,38.8106041,
830,38.33294678,
828,37.88072586,
826,37.93464279,
824,38.01261902,
822,38.451828,
820,38.0867691,
818,37.67725372,
816,37.46265411,
814,37.78863525,
812,38.04246521,
810,37.06060791,
808,37.36575317,
806,37.03303146,
804,37.98223877,
802,37.67288208,
800,37.00102997,
798,36.89661026,
796,37.20351791,
794,36.50598145,
792,36.48157883,
790,36.53906631,
788,35.96467209,
786,36.13561249,
784,35.78623962,
782,35.88098907,
780,35.86480713,
778,35.64736938,
776,35.83951569,
774,35.68930054,
772,35.28308105,
770,35.27706528,
768,35.15021896,
766,34.79066086,
764,35.04738617,
762,34.94549561,
760,34.76529312,
758,34.47849274,
756,34.47396851,
754,34.25755692,
752,34.42742157,
750,33.89328003,
748,33.97754288,
746,33.95578384,
744,33.61799622,
742,33.65631866,
740,33.7189064,
738,33.42908478,
736,33.31977463,
734,33.15533829,
732,33.05368042,
730,32.98052979,
728,32.87186813,
726,32.66653442,
724,32.6818161,
722,32.39226151,
720,32.29070663,
718,32.22224045,
716,32.32133865,
714,31.95402336,
712,31.97826385,
710,31.78412247,
708,31.48603439,
706,31.4274826,
704,31.45210457,
702,31.33936882,
700,31.15711784,
698,31.1377697,
696,31.04261971,
694,30.97794342,
692,30.71117973,
690,30.68990707,
688,30.44245529,
686,30.33712578,
684,30.39048386,
682,30.1661396,
680,30.30187225,
678,29.93783951,
676,29.91757011,
674,29.78438377,
672,29.65546799,
670,29.54361725,
668,29.57935905,
666,29.33184242,
664,29.2342968,
662,29.23601341,
660,29.04298592,
658,28.9117775,
656,28.70991898,
654,28.60579872,
652,28.51250458,
650,28.42026901,
648,28.39037514,
646,28.26871872,
644,28.23077393,
642,28.08736038,
640,27.95097542,
638,27.92255783,
636,27.69278526,
634,27.65801239,
632,27.54506683,
630,27.45190048,
628,27.37433052,
626,27.31951523,
624,27.09420586,
622,27.04895401,
620,26.93142891,
618,26.85127831,
616,26.679533,
614,26.63227081,
612,26.56797409,
610,26.47049332,
608,26.27095795,
606,26.34188461,
604,26.22851181,
602,26.19395638,
600,26.07613564,
598,25.90847588,
596,25.7216835,
594,25.70625877,
592,25.5986805,
590,25.39056206,
588,25.51250839,
586,25.31513596,
584,25.19963646,
582,25.23936844,
580,25.02542114,
578,24.96117401,
576,24.97215652,
574,24.87201881,
572,24.74306297,
570,24.7063694,
568,24.57821655,
566,24.49853897,
564,24.40535355,
562,24.43557167,
560,24.27161407,
558,24.2686367,
556,24.24101257,
554,24.13217163,
552,23.86904144,
550,23.94724083,
548,23.87734795,
546,23.82845688,
544,23.64944267,
542,23.62295723,
540,23.55532265,
538,23.49198151,
536,23.35313034,
534,23.46106911,
532,23.31456184,
530,23.33892822,
528,23.20683861,
526,23.11701965,
524,23.14930344,
522,23.03225327,
520,22.96372414,
518,22.69653511,
516,22.76224709,
514,22.67831612,
512,22.64424324,
510,22.66080666,
508,22.59786987,
506,22.62052917,
504,22.527565,
502,22.3523407,
500,22.24683952,
498,22.35246086,
496,22.27240562,
494,22.22140694,
492,22.23279572,
490,22.23093414,
488,21.99597931,
486,22.07067871,
484,21.9257946,
482,21.86904716,
480,21.84436798,
478,21.73414803,
476,21.6981144,
474,21.53016853,
472,21.52275658,
470,21.45813942,
468,21.46480179,
466,21.36159134,
464,21.35060692,
462,21.18218994,
460,21.19079781,
458,20.93847656,
456,20.94803238,
454,20.85479546,
452,20.81880569,
450,20.71708679,
448,20.66487885,
446,20.4516983,
444,20.29557419,
442,20.37794495,
440,20.13831139,
438,19.97398567,
436,19.87553596,
434,19.89264107,
432,19.63773727,
430,19.61782646,
428,19.30725479,
426,19.27080536,
424,19.30902863,
422,18.80275536,
420,19.10010719,
418,18.92372894,
416,18.52707291,
414,18.41446686,
412,18.21586418,
410,17.83014679,
408,18.10329437,
406,17.92174721,
404,16.99975967,
402,16.98704338,
400,17.18166733,
398,17.31339455,
396,16.63791275,
394,16.93104935,
392,16.47792053,
390,15.81189346,
388,15.9127264,
386,15.41997528,
384,15.63444424,
382,15.85458374,
380,15.52526379,
378,15.91005135,
376,14.96572685,
374,14.3940506,
372,13.73138714,
370,14.37876034,
368,14.5584898,
366,14.08707809,
364,14.95270443,
362,14.75914383,
360,13.31950378,
358,14.06393623,
356,14.91607857,
354,14.82583618,
352,14.86239243,
350,14.43075562,

