# rows 430:5:700 nm, cols 0:1:89 deg, 100*(1-R)
1.280487395730311917e+01,1.280624902684639466e+01,1.281053480574509962e+01,1.281821174643877903e+01,1.283007649359630875e+01,1.284723601512485303e+01,1.287109996450254101e+01,1.290337182440565122e+01,1.294603949101145091e+01,1.300136602145616216e+01,1.307188126267617712e+01,1.316037498123923122e+01,1.326989188609210046e+01,1.340372853393526675e+01,1.356543146887011453e+01,1.375879498920267174e+01,1.398785553585078034e+01,1.425687769229744362e+01,1.457032394719826129e+01,1.493279639589251140e+01,1.534893307155471476e+01,1.582323418443854024e+01,1.635978385056291273e+01,1.696182084723288952e+01,1.763109828116540356e+01,1.836695933813567905e+01,1.916505073037124873e+01,2.001561030650756834e+01,2.090132597951490823e+01,2.179491324753615089e+01,2.265685930067700227e+01,2.343428196133607955e+01,2.406248500091072628e+01,2.447117386685597751e+01,2.459657952310703166e+01,2.439803925907619941e+01,2.387343312550960306e+01,2.306546474698052407e+01,2.205387993966535376e+01,2.093651964659856191e+01,1.980821927190048370e+01,1.874595783238743962e+01,1.780317347248576709e+01,1.701167257422893186e+01,1.638547055005847852e+01,1.592797813065414125e+01,1.563531600245119435e+01,1.549977816981376044e+01,1.551165463451500415e+01,1.566016463055803776e+01,1.593389952253878583e+01,1.632117422292669318e+01,1.681066417860177609e+01,1.739260835808536143e+01,1.806058504743315396e+01,1.881329808078902133e+01,1.965488165118906139e+01,2.059102763249667234e+01,2.161719940920878713e+01,2.269575376160490876e+01,2.372465332166493468e+01,2.451682722548526172e+01,2.483053843992642129e+01,2.447832139274190766e+01,2.345665906715164084e+01,2.196936770218632518e+01,2.031265555877059725e+01,1.873783006346148028e+01,1.739254618850807432e+01,1.633427834328406902e+01,1.556707862494652872e+01,1.507189081416590071e+01,1.482420844631660017e+01,1.480232305259140446e+01,1.499033560219944405e+01,1.537870042955852234e+01,1.596375235599629683e+01,1.674685737604321289e+01,1.773339078605931007e+01,1.893149838208698554e+01,2.035039045604371921e+01,2.199761438837848360e+01,2.387413005278240519e+01,2.596460189272137242e+01,2.821698785407608057e+01,3.049739015995256608e+01,3.248595127957165829e+01,3.342979863861184953e+01,3.156006688538102267e+01,2.287733750044849046e+01
1.292948533991826743e+01,1.293386686170150313e+01,1.294715830390384959e+01,1.296979970031182461e+01,1.300252250016127320e+01,1.304634682207015395e+01,1.310257791508897540e+01,1.317280207502592404e+01,1.325888224666671533e+01,1.336295344690596743e+01,1.348741793861027993e+01,1.363493972840924506e+01,1.380843739736164011e+01,1.401107342587486571e+01,1.424623694172988309e+01,1.451751506816982840e+01,1.482864560537010590e+01,1.518344043395707388e+01,1.558566455451142474e+01,1.603884987432297038e+01,1.654601567312561272e+01,1.710925946349026816e+01,1.772917389213947104e+01,1.840404023292157021e+01,1.912875268872503653e+01,1.989345084027397448e+01,2.068189803378597347e+01,2.146976732178104186e+01,2.222321242344116143e+01,2.289841667133083547e+01,2.344315657242832529e+01,2.380154845464412716e+01,2.392262437475773851e+01,2.377180248305910126e+01,2.334196962469907533e+01,2.265932803011601138e+01,2.178037316880849872e+01,2.078050271730067422e+01,1.973898979975461287e+01,1.872613689500466450e+01,1.779605828675386903e+01,1.698518343479327086e+01,1.631449880625304161e+01,1.579371830432190293e+01,1.542393330074141033e+01,1.520223917333254349e+01,1.512263136669382746e+01,1.517759525729534076e+01,1.535873137562507829e+01,1.565708478590281949e+01,1.606345852584338729e+01,1.656897438658580057e+01,1.716603848510671781e+01,1.784958032210376544e+01,1.861786263647060480e+01,1.947127100938019595e+01,2.040646234354897004e+01,2.140279637308246663e+01,2.240006966394285826e+01,2.327494166743033688e+01,2.383964900142079202e+01,2.389568195471580836e+01,2.334009111289701011e+01,2.224656156763342807e+01,2.083584880912079385e+01,1.936194909461240599e+01,1.801712854976633693e+01,1.690609425650083608e+01,1.606627689019849470e+01,1.549788595223383680e+01,1.518634966977346856e+01,1.511500092856514854e+01,1.527100536345613691e+01,1.564759758425427982e+01,1.624457477683056794e+01,1.706805453359459079e+01,1.812993196064115509e+01,1.944716365091063892e+01,2.104084448487126835e+01,2.293494937375022502e+01,2.515453421743061213e+01,2.772306870783660671e+01,3.065827571322343914e+01,3.396501774568729815e+01,3.762138024812016113e+01,4.154711352694017279e+01,4.552208563183241807e+01,4.894946449125156107e+01,5.007115662889290775e+01,4.283625131522054374e+01
1.341493469469328126e+01,1.342203161938622102e+01,1.344346169200301233e+01,1.347964241484433856e+01,1.353126830282702642e+01,1.359930885015445767e+01,1.368500554412093173e+01,1.378986769040451144e+01,1.391566659993417332e+01,1.406442734535506744e+01,1.423841677600241695e+01,1.444012572080306533e+01,1.467224222811506174e+01,1.493761119054861553e+01,1.523917366439772003e+01,1.557987649371953509e+01,1.596253938550686868e+01,1.638966233342928902e+01,1.686315143150583040e+01,1.738393624781235758e+01,1.795144840976471556e+01,1.856293159751700728e+01,1.921256260148729211e+01,1.989038937821747766e+01,2.058114661259338263e+01,2.126310590917692878e+01,2.190726614104343639e+01,2.247737908754064051e+01,2.293147498840004772e+01,2.322555542200953482e+01,2.331973279991190751e+01,2.318615151045052514e+01,2.281671464450082354e+01,2.222772825152887677e+01,2.145906214845594207e+01,2.056754952980746154e+01,1.961692910234137344e+01,1.866790906940711636e+01,1.777119728916893848e+01,1.696446705874712535e+01,1.627258798510411353e+01,1.570974954433632576e+01,1.528217807711188492e+01,1.499105367339013029e+01,1.483340939533941416e+01,1.480507031974928012e+01,1.490034541275719882e+01,1.511280870942450782e+01,1.543551826956391970e+01,1.586125963093138935e+01,1.638297896375942031e+01,1.699445690403440423e+01,1.769097613337011765e+01,1.846917819703050156e+01,1.932450425775923364e+01,2.024387343941137374e+01,2.119156226359739748e+01,2.208982925290672483e+01,2.280539160148071787e+01,2.316539203439415928e+01,2.302219187615417439e+01,2.234183884367138972e+01,2.124154038517345100e+01,1.993414332975128644e+01,1.863117662942608277e+01,1.748073468123589791e+01,1.655950176994851475e+01,1.589353687799335191e+01,1.548224022294407654e+01,1.531523257103973812e+01,1.538172900759365902e+01,1.567486418387760239e+01,1.619318800662111713e+01,1.694065907690555051e+01,1.792572388806892292e+01,1.915957613399354997e+01,2.065336199816938390e+01,2.241386527876684198e+01,2.443706211391961602e+01,2.669894520010602790e+01,2.914332197974497518e+01,3.166705305046615493e+01,3.410443003522112093e+01,3.621363242515890590e+01,3.766818293224957159e+01,3.805317433670958138e+01,3.685865044597053242e+01,3.345271404954451100e+01,2.701107592061220330e+01,1.639100090028772172e+01
1.420542934834336890e+01,1.421501737327101011e+01,1.424391182461583938e+01,1.429250295670250281e+01,1.436143816973879339e+01,1.445161708713504822e+01,1.456418382744293361e+01,1.470051548576631895e+01,1.486220533458251225e+01,1.505103856313553301e+01,1.526895743839884467e+01,1.551801152329108646e+01,1.580028696409656597e+01,1.611780681003180860e+01,1.647239185363977754e+01,1.686546869006901872e+01,1.729780890817105288e+01,1.776918124997883908e+01,1.827789854521741830e+01,1.882024555698246360e+01,1.938978622834324028e+01,1.997657443781961462e+01,2.056633767138358238e+01,2.113977361551191336e+01,2.167219527562260595e+01,2.213386475455465430e+01,2.249142348907064815e+01,2.271077253447535327e+01,2.276147387579079506e+01,2.262217963214519045e+01,2.228587817900980994e+01,2.176325782796598673e+01,2.108270828561977694e+01,2.028656218852628967e+01,1.942463961650460291e+01,1.854713109389076919e+01,1.769879512204243355e+01,1.691555526028478695e+01,1.622352207703234939e+01,1.563977774063375392e+01,1.517407633644720732e+01,1.483076531630213069e+01,1.461046857758142536e+01,1.451175586831343622e+01,1.453097010416975010e+01,1.466427825719433997e+01,1.490685853998228083e+01,1.525338411663629223e+01,1.569816285462344396e+01,1.623540428228178456e+01,1.685956852587509047e+01,1.756545819447845602e+01,1.834719481332578539e+01,1.919456191635610054e+01,2.008483940328158468e+01,2.096937931029427915e+01,2.175883984726960563e+01,2.232015663808601857e+01,2.250507469758341728e+01,2.221534672357023865e+01,2.146745566057137822e+01,2.039809712838636102e+01,1.920103551792395891e+01,1.805058505116374690e+01,1.706242685877636944e+01,1.629466320592657524e+01,1.576669826638246263e+01,1.547821991833535549e+01,1.542207461638901478e+01,1.559127230311516676e+01,1.598201802699881213e+01,1.659432994553522533e+01,1.743107044646287207e+01,1.849559933775487508e+01,1.978782801975500405e+01,2.129821451188880133e+01,2.299927903298157972e+01,2.483476875214880408e+01,2.670798429506386995e+01,2.847313182403988918e+01,2.993615233943103249e+01,3.087199218079333818e+01,3.106044737265683153e+01,3.033185471948460687e+01,2.860321823091722848e+01,2.588548546209453605e+01,2.225704954243290601e+01,1.781642123121944721e+01,1.263420208370432718e+01,6.718684649411388321e+00
1.525483014927168135e+01,1.526656413590935557e+01,1.530187603161479259e+01,1.536109330070023482e+01,1.544475366882509526e+01,1.555359219624832257e+01,1.568852139369203513e+01,1.585060241217878207e+01,1.604100451632217528e+01,1.626094904025377019e+01,1.651163280375179809e+01,1.679412454237414565e+01,1.710922635179507978e+01,1.745729064972536548e+01,1.783798209883231678e+01,1.824997399798491315e+01,1.869057097662092559e+01,1.915525616320718072e+01,1.963717377806191067e+01,2.012658029014236050e+01,2.061033165768835218e+01,2.107152156184297809e+01,2.148944141558123277e+01,2.184008237614610692e+01,2.209741230186801175e+01,2.223559125102361378e+01,2.223209271176329693e+01,2.207136782418934828e+01,2.174830934756239031e+01,2.127053105540840505e+01,2.065859590225993614e+01,1.994387906323057535e+01,1.916453935299239220e+01,1.836069495021779119e+01,1.757003641821970419e+01,1.682475167232582081e+01,1.615005100939759330e+01,1.556407802159880305e+01,1.507873740605141322e+01,1.470095081045017515e+01,1.443396569742647628e+01,1.427849010313825318e+01,1.423352044379788595e+01,1.429725511537722760e+01,1.446638385724849840e+01,1.473769899211587742e+01,1.510711169352840777e+01,1.557002671927661908e+01,1.612140828144945459e+01,1.675578836049749043e+01,1.746680787015394287e+01,1.824543234141078329e+01,1.907551596910578340e+01,1.992546467629152573e+01,2.073659708825059766e+01,2.141393370986380873e+01,2.183253144072081398e+01,2.187307769840556304e+01,2.148017663843089053e+01,2.070388735306998385e+01,1.968508707652997103e+01,1.859493411570960575e+01,1.757696867623624826e+01,1.672309074184987665e+01,1.607876227393336777e+01,1.565928097279702946e+01,1.546481223256634863e+01,1.549029838413249394e+01,1.573066371136755492e+01,1.618272015736034319e+01,1.684483312077311723e+01,1.771481181394518600e+01,1.878601431233529695e+01,2.004142421551799913e+01,2.144560352212731047e+01,2.293520526116143898e+01,2.441039360953960369e+01,2.573188398035259894e+01,2.672998958618656573e+01,2.723016358405867621e+01,2.709170179076516405e+01,2.624526872858393745e+01,2.471015125982198768e+01,2.258127669002912796e+01,1.999354321548857527e+01,1.708198492379826661e+01,1.395325857238833933e+01,1.067319384260403403e+01,7.266536386129418545e+00,3.722342788581278761e+00
1.650549494640504022e+01,1.651869200119028136e+01,1.655834868640308954e+01,1.662465662297281099e+01,1.671791834116778119e+01,1.683852072889279228e+01,1.698689522094717219e+01,1.716346198989384675e+01,1.736855450936519674e+01,1.760231996684005296e+01,1.786459021311024387e+01,1.815471745790415525e+01,1.847136911363721623e+01,1.881227762062058773e+01,1.917394459455163869e+01,1.955130535089388744e+01,1.993737112867643901e+01,2.032288343598205316e+01,2.069603841304839165e+01,2.104236754411697063e+01,2.134488926036202017e+01,2.158466298492436408e+01,2.174186531851227500e+01,2.179744588454743948e+01,2.173529243904543762e+01,2.154464942459934917e+01,2.122234100909481214e+01,2.077424023675947851e+01,2.021549630356339478e+01,1.956931434725459695e+01,1.886449246474046859e+01,1.813228242879656449e+01,1.740328873114535924e+01,1.670500755365534928e+01,1.606032191207662407e+01,1.548696148966856079e+01,1.499772113346218205e+01,1.460114708817019746e+01,1.430241767329258806e+01,1.410421492436683089e+01,1.400746338200615781e+01,1.401187849942455799e+01,1.411628306024780244e+01,1.431911876239402304e+01,1.461747469601162308e+01,1.500848015418445591e+01,1.548823022692945628e+01,1.605198182184945921e+01,1.669381522832431486e+01,1.740567734824342949e+01,1.817499910398992924e+01,1.897984281352720259e+01,1.978103870010259158e+01,2.051312303052834807e+01,2.108081082465565004e+01,2.137252423364186527e+01,2.129802451690983034e+01,2.083605825936245637e+01,2.005670940348787212e+01,1.909617844536291997e+01,1.810346625710832313e+01,1.719749040776280680e+01,1.645269497778694046e+01,1.590577189834339045e+01,1.556933456877014343e+01,1.544386465589258073e+01,1.552538908244740412e+01,1.580928749591947735e+01,1.629124403925005282e+01,1.696605577068667259e+01,1.782456723735136350e+01,1.884873143978660437e+01,2.000488614093288575e+01,2.123599588708361452e+01,2.245502319448569040e+01,2.354352031798587674e+01,2.436069445536265121e+01,2.476615329262481424e+01,2.465258828291477755e+01,2.397566562304662696e+01,2.276547893173055570e+01,2.111269210751574121e+01,1.913720948600372651e+01,1.695535149184394896e+01,1.465796537563028856e+01,1.230272323298104986e+01,9.917026525972861606e+00,7.505969945245061226e+00,5.060877494289561795e+00,2.565695285096580847e+00
1.782644958567194493e+01,1.783986444885441358e+01,1.788009611297808377e+01,1.794709769652884646e+01,1.804076368214114723e+01,1.816088758795712010e+01,1.830710026709742166e+01,1.847878659532746681e+01,1.867497803831598091e+01,1.889421875559644803e+01,1.913440377912272083e+01,1.939258979576587905e+01,1.966478267850688866e+01,1.994571174151600346e+01,2.022860928603689246e+01,2.050502559835862826e+01,2.076472364220494171e+01,2.099571232308057489e+01,2.118448828667009920e+01,2.131655697839270758e+01,2.137728519818584516e+01,2.135309101058715697e+01,2.123289950695157557e+01,2.100969407362639529e+01,2.068189985550023025e+01,2.025429105845272204e+01,1.973815670020542257e+01,1.915060237930494935e+01,1.851307327542244252e+01,1.784938072223632943e+01,1.718362323110032008e+01,1.653837543590431736e+01,1.593339663202884005e+01,1.538494594185925202e+01,1.490564718558555768e+01,1.450475984637998828e+01,1.418868684769012489e+01,1.396156780236970008e+01,1.382584512522166875e+01,1.378273216371580467e+01,1.383254789753383207e+01,1.397490903552414210e+01,1.420875722111264494e+01,1.453264923197008507e+01,1.494363159099049199e+01,1.543844309989208519e+01,1.601221874235038101e+01,1.665815905666455521e+01,1.736614409998658104e+01,1.811994187992018723e+01,1.889230675325404007e+01,1.963813455376637407e+01,2.028841562607972548e+01,2.075187090088148523e+01,2.093315150664223268e+01,2.076873281634587087e+01,2.026297162146211051e+01,1.949619461762512884e+01,1.859538191295653320e+01,1.768939534247044776e+01,1.687754550895719063e+01,1.622121433754163533e+01,1.575076989398311866e+01,1.547690406159261123e+01,1.540016133731643144e+01,1.551690514381448516e+01,1.582203820179600662e+01,1.630920306675471920e+01,1.696896366295444025e+01,1.778519312699299348e+01,1.872985676576264069e+01,1.975678684715717992e+01,2.079605373467674667e+01,2.175202227339350003e+01,2.250927861067062352e+01,2.294950455192739014e+01,2.297745256139956993e+01,2.254688190971965156e+01,2.167353855409499630e+01,2.042750048324268874e+01,1.890887089273098809e+01,1.721920184015154476e+01,1.544011987299085398e+01,1.362367186908286598e+01,1.179268650900511162e+01,9.947127772388652645e+00,8.072994518364694727e+00,6.151614989424669666e+00,4.167870418606655747e+00,2.115812036025688236e+00
1.902010480194923403e+01,1.903188497736379858e+01,1.906710465756941275e+01,1.912539129630923540e+01,1.920609054653763437e+01,1.930821590650093711e+01,1.943037807759505498e+01,1.957069450309409930e+01,1.972668064036704294e+01,1.989512641923700897e+01,2.007196430941179344e+01,2.025213967940010562e+01,2.042949976042343252e+01,2.059672430916057451e+01,2.074532822848766855e+01,2.086577237788478456e+01,2.094772099031120405e+01,2.098047896696135695e+01,2.095362598655487929e+01,2.085783414174751016e+01,2.068581247350114083e+01,2.043327203799234582e+01,2.009976275338004470e+01,1.968921659230644750e+01,1.921005673023492477e+01,1.867480314048192014e+01,1.809920731299715513e+01,1.750105131786853363e+01,1.689881455704573909e+01,1.631042323924700810e+01,1.575225382270621921e+01,1.523848376406657934e+01,1.478080015774547817e+01,1.438841277231590610e+01,1.406828310309951036e+01,1.382547357232243357e+01,1.366353220299989601e+01,1.358484807783172421e+01,1.359093419991126339e+01,1.368261303012885399e+01,1.386009482487373745e+01,1.412294969516594279e+01,1.446994814915700900e+01,1.489917931493126524e+01,1.540674393204409753e+01,1.598760772808833863e+01,1.663374763488560859e+01,1.733275675057829446e+01,1.806483994087808753e+01,1.879820542569453679e+01,1.948364137381443228e+01,2.005157510718247238e+01,2.041791976511788675e+01,2.050453744999394345e+01,2.027099530476285238e+01,1.973981907797197621e+01,1.899488836314493412e+01,1.815200081894306905e+01,1.732234000067587232e+01,1.658952947157237290e+01,1.600495749553495628e+01,1.559425366680826741e+01,1.536661968988102345e+01,1.532245292198211040e+01,1.545799196971531231e+01,1.576721042911291093e+01,1.624148723916646375e+01,1.686744671324784761e+01,1.762324690612246769e+01,1.847376011219816760e+01,1.936570073486120336e+01,2.022481574906547053e+01,2.095831025609707865e+01,2.146555035426155200e+01,2.165728362460189871e+01,2.147816487592968571e+01,2.092268455917054482e+01,2.003576839621319294e+01,1.889725041128593830e+01,1.759808581591860843e+01,1.621866725867520032e+01,1.481550377057776480e+01,1.341676073401523084e+01,1.202390504372028346e+01,1.061653031556368809e+01,9.158875411981748371e+00,7.608081597534122054e+00,5.924874237298793922e+00,4.086415199814519283e+00,2.098354446586725430e+00
1.987602296000239477e+01,1.988410133260302004e+01,1.990810882118123715e+01,1.994735426322473870e+01,2.000065859224099540e+01,2.006631581689609689e+01,2.014204203657237002e+01,2.022491682109617273e+01,2.031132344065311912e+01,2.039689715227941491e+01,2.047649394517026167e+01,2.054419551806599031e+01,2.059336920065369014e+01,2.061680304783434181e+01,2.060693506125503660e+01,2.055618983898030905e+01,2.045742452802261724e+01,2.030446825786622611e+01,2.009271655335352946e+01,1.981971837825167171e+01,1.948567482482881275e+01,1.909376271941238912e+01,1.865020983076848182e+01,1.816408241777946841e+01,1.764679484998423931e+01,1.711140268882127558e+01,1.657178008975559536e+01,1.604179825077520860e+01,1.553461060669256710e+01,1.506211827609337206e+01,1.463464739995431430e+01,1.426083053005655543e+01,1.394765548435350411e+01,1.370063006859448862e+01,1.352400823775715644e+01,1.342102872155539472e+01,1.339412665528819701e+01,1.344508914922442067e+01,1.357513522981093068e+01,1.378490851783102933e+01,1.407437684447290138e+01,1.444263460471668736e+01,1.488756310545443817e+01,1.540571714033657180e+01,1.599066457416587994e+01,1.663319989804119459e+01,1.731853169481747301e+01,1.802358026708419203e+01,1.871294235381322224e+01,1.933512211810435133e+01,1.982248704299362885e+01,2.010015849940940313e+01,2.010674025231069351e+01,1.982076799972391967e+01,1.927685413526267766e+01,1.855811534060423185e+01,1.776878893229945078e+01,1.700491791228040483e+01,1.633757107649465112e+01,1.581039691171979200e+01,1.544539701453031455e+01,1.525057894941314096e+01,1.522608207954025872e+01,1.536781214502550519e+01,1.566873507973073387e+01,1.611823028653203238e+01,1.669985453539105791e+01,1.738788464186258409e+01,1.814330377819792872e+01,1.891056458924661499e+01,1.961734524282389103e+01,2.017996924014143900e+01,2.051606118958674330e+01,2.056260122225028653e+01,2.029305942013979092e+01,1.972538549135553865e+01,1.891626522614986428e+01,1.794434356657832552e+01,1.689027523078623361e+01,1.582093626146394705e+01,1.478076446057405846e+01,1.378906583529797558e+01,1.284039895946891363e+01,1.190554022033884962e+01,1.093197507761280995e+01,9.844775570392428676e+00,8.551094096577971371e+00,6.953991552580429669e+00,4.981577200859376831e+00,2.629984513242300537e+00
2.021061150353319391e+01,2.021349845127621236e+01,2.022187306459568390e+01,2.023487413596386375e+01,2.025105876521609005e+01,2.026839399012201426e+01,2.028425107726085130e+01,2.029540861914039951e+01,2.029807238319348883e+01,2.028792141765218915e+01,2.026019088359587528e+01,2.020980194571301425e+01,2.013154719996042985e+01,2.002033593103998044e+01,1.987149657224049903e+01,1.968112417799421365e+01,1.944644941384470371e+01,1.916619441759590359e+01,1.884087268738170451e+01,1.847298805548469502e+01,1.806709430618520429e+01,1.762969274235026518e+01,1.716896794947597726e+01,1.669438745173782479e+01,1.621621277795248872e+01,1.574498213974445626e+01,1.529102553679622112e+01,1.486406226466208125e+01,1.447291220570966530e+01,1.412533111119129714e+01,1.382796111935173933e+01,1.358637407113352324e+01,1.340517773752036845e+01,1.328815310894240298e+01,1.323839275774829716e+01,1.325841418487888568e+01,1.335022660667124583e+01,1.351533398206592551e+01,1.375466072018430808e+01,1.406838866780200092e+01,1.445569251748062278e+01,1.491435053501678532e+01,1.544014635662041002e+01,1.602637023953429463e+01,1.666156192598053920e+01,1.732886694240298908e+01,1.800234067518997705e+01,1.864400317066723289e+01,1.920178223774051673e+01,1.961193764150532814e+01,1.980981058642927906e+01,1.974935626562297486e+01,1.942404372603296991e+01,1.887587062857019049e+01,1.818458501415359763e+01,1.744334073619957337e+01,1.673538133209400058e+01,1.612169119888411473e+01,1.563985370797587038e+01,1.530904880808217072e+01,1.513632441574948118e+01,1.512154728181005581e+01,1.526027237313739526e+01,1.554462473936002453e+01,1.596251264516805790e+01,1.649551257977552865e+01,1.711587384756107966e+01,1.778344408340014482e+01,1.844393196570425175e+01,1.903053657578966806e+01,1.947091033177740371e+01,1.969982534111114347e+01,1.967467508404232746e+01,1.938780311878625184e+01,1.886959445039280325e+01,1.818049149808322795e+01,1.739580219961176510e+01,1.658995024075570157e+01,1.582520465123706899e+01,1.514619212482941535e+01,1.457854175221817705e+01,1.412888796532387659e+01,1.378356721133681084e+01,1.350375228073933442e+01,1.321504735703453726e+01,1.279020589478530034e+01,1.202684282665578053e+01,1.063333584879089244e+01,8.263255969477734553e+00,4.670074556213787531e+00
