30,0.9605660624833366,0.02545630318815617,0,0.02732811327694114,0.012105824239729,0.006819550273007479,0.005286273966721522,0.9439322723977669,0.9067093061480713
40,0.9585343420007408,0.02825357521890248,0,0.02755475826423673,0.0139108997350203,0.006807961210986051,0.007102938524034249,0.93815230124341,0.8992511987688327
50,0.9564053370395643,0.03101144029276803,0,0.02784576845559609,0.01574889450483933,0.006804316135852907,0.008944578368986421,0.9325226365173074,0.8918696264753585
60,0.9541382536421608,0.03372393364733595,0,0.02828408196067794,0.01757766439715982,0.00680961072798681,0.01076805366917301,0.9270511097375506,0.8845349268820136
70,0.9516563536534876,0.03630202651002223,0,0.02911825215945872,0.01922539418704885,0.006826824847466722,0.01239856933958212,0.9219098743685812,0.8773413894387487
80,0.9479854664641945,0.03851737689183532,0,0.03148154021577701,0.02053299332003016,0.006847271016662475,0.01368572230336769,0.9175373581183703,0.8698120804341679
90,0.93492931600337,0.04059188724276497,0,0.04363718633015844,0.02143349766647129,0.006798592777596716,0.01463490488887457,0.9134802618309551,0.8540394763761943
100,0.9304923584053204,0.04246792961581369,0,0.04712449651472205,0.0223831450799532,0.006805592668457375,0.01557755241149582,0.9098420782092431,0.8466011011293166
110,0.9257663034508254,0.04408873534345781,0,0.0510095011165477,0.0232241954326261,0.006810545631461392,0.01641364980116471,0.906722125727107,0.8394127905914585
120,0.9184517040032055,0.04568551058303272,0,0.05756757620906424,0.02398071978772949,0.00679942687973888,0.01718129290799061,0.9036692838601706,0.8299765936167302
130,0.9146111831891721,0.04730490324495451,0,0.06054347958740654,0.02484533722342279,0.006814003522366339,0.01803133370105645,0.9005941248130678,0.8236934580684969
140,0.9114631156705555,0.04893997106723103,0,0.06278448916756557,0.02575239516187853,0.006831099200243523,0.01892129596163501,0.897510360790832,0.8180475897930161
150,0.9090209412486445,0.05057836755326373,0,0.06427982738470846,0.02669923136664416,0.006849615753531009,0.01984961561311315,0.8944414294603992,0.8130659900998751
160,0.9072048309532901,0.05221307711957057,0,0.0651146607512957,0.02768050829541472,0.006868758826354919,0.02081174946905981,0.8914002500048785,0.8086826131173963
170,0.9058406544422697,0.05384530922081765,0,0.06547060556822434,0.02868873998950994,0.00688751013694684,0.0218012298525631,0.888384243326138,0.8047345643707494
180,0.9048358199940828,0.05548448786561322,0,0.06544468138664675,0.02971949861926746,0.006905636032729165,0.02281386258653829,0.8853758708828223,0.8011198021332337
190,0.9041224240834109,0.05714669171453901,0,0.06510768812695969,0.03076988778963114,0.006923072844697001,0.02384681494493415,0.8823459753140488,0.7977487820811793
200,0.9036399204271582,0.0588520041152335,0,0.06452196998538373,0.03183810958746124,0.006939685188535221,0.02489842439892602,0.8792589765517772,0.7945335116061125
