d_ETL_nm,k_ITO,Theta,mode,eta_sub,spp,eta_ext,EQE
200,0.0032,0.667,full_400_700,0.961964361246153,0.023261601274240932,0.9040014926265422,0.8696172184200606
200,0.0032,0.667,single_550,0.9630646868474979,0.022777024961707342,0.9120671506792253,0.8783796648527777
200,0.0032,0.8,full_400_700,0.9697635339729878,0.015398632491191265,0.9000444891952777,0.872830324574925
200,0.0032,0.8,single_550,0.970671490824965,0.015135352788737932,0.9083079446876302,0.8816686267981019
200,0.0032,0.9,full_400_700,0.9753747548083891,0.009742340016838425,0.8972759188489632,0.8751802793427795
200,0.0032,0.9,single_550,0.9760790857837391,0.009702970405603051,0.9056712115116515,0.8840067281529442
200,0.002,0.667,full_400_700,0.9646901957602029,0.023182276680561373,0.9213756715755694,0.8888420769809244
200,0.002,0.667,single_550,0.9656187732709394,0.022712048963642054,0.9291080852868446,0.8971642095507942
200,0.002,0.8,full_400_700,0.9725720949232463,0.015336773180601143,0.9182649493057593,0.8930788654408909
200,0.002,0.8,single_550,0.973302060240795,0.015083503974728013,0.9262426215322629,0.9015138518201864
200,0.002,0.9,full_400_700,0.978242057372412,0.009693073784422242,0.9160874332011387,0.896155255387694
200,0.002,0.9,single_550,0.9787638972529152,0.009660581528574045,0.9242330102608469,0.9046059030927002
300,0.0032,0.667,full_400_700,0.9793319989191722,0.0041553743402324966,0.9013365798418964,0.8827077544355345
300,0.0032,0.667,single_550,0.980537044525082,0.003373912684673809,0.9074326087464968,0.889771288285975
300,0.0032,0.8,full_400_700,0.980340416129983,0.0027389854075700534,0.896462788687544,0.878838703306992
300,0.0032,0.8,single_550,0.9812280706720921,0.002282820954216183,0.9029242029003448,0.885974573575042
300,0.0032,0.9,full_400_700,0.981061210310648,0.0017213661336672327,0.8929338812104511,0.8760227942277096
300,0.0032,0.9,single_550,0.9817328357812455,0.0014858250101343038,0.8996349693301731,0.8832011896084846
300,0.002,0.667,full_400_700,0.982514477175304,0.004054224919491988,0.9213904762386718,0.905279482035943
300,0.002,0.667,single_550,0.9835325377004445,0.0032741410343965,0.9270120457429746,0.9117465098284683
300,0.002,0.8,full_400_700,0.9836408182097335,0.0026651227735043793,0.9176207232932675,0.902609199066397
300,0.002,0.8,single_550,0.9843293361383253,0.0022096307333069136,0.9236222094290516,0.9091484362499116
300,0.002,0.9,full_400_700,0.9844472450882382,0.0016673081587722097,0.9148929166409577,0.900663811337934
300,0.002,0.9,single_550,0.9849113489272273,0.0014320707134855319,0.9211495713364202,0.9072506668686908
