wavelength_nm,HATCN5_Ag4_T_pct,HATCN5_Ag4_Rmeas_pct,HATCN5_Ag4_Rcorr_pct,HATCN5_Ag4_A_pct,HATCN5_Ag5_T_pct,HATCN5_Ag5_Rmeas_pct,HATCN5_Ag5_Rcorr_pct,HATCN5_Ag5_A_pct,HATCN5_Ag6_T_pct,HATCN5_Ag6_Rmeas_pct,HATCN5_Ag6_Rcorr_pct,HATCN5_Ag6_A_pct,HATCN5_Ag7_T_pct,HATCN5_Ag7_Rmeas_pct,HATCN5_Ag7_Rcorr_pct,HATCN5_Ag7_A_pct,HATCN5_Ag8_T_pct,HATCN5_Ag8_Rmeas_pct,HATCN5_Ag8_Rcorr_pct,HATCN5_Ag8_A_pct,HATCN5_Ag10_T_pct,HATCN5_Ag10_Rmeas_pct,HATCN5_Ag10_Rcorr_pct,HATCN5_Ag10_A_pct,HATCN5_Ag12_T_pct,HATCN5_Ag12_Rmeas_pct,HATCN5_Ag12_Rcorr_pct,HATCN5_Ag12_A_pct,MoOx5_bare_T_pct,MoOx5_bare_Rmeas_pct,MoOx5_bare_Rcorr_pct,MoOx5_bare_A_pct,MoOx5_Ag4_T_pct,MoOx5_Ag4_Rmeas_pct,MoOx5_Ag4_Rcorr_pct,MoOx5_Ag4_A_pct,MoOx5_Ag5_T_pct,MoOx5_Ag5_Rmeas_pct,MoOx5_Ag5_Rcorr_pct,MoOx5_Ag5_A_pct,MoOx5_Ag6_T_pct,MoOx5_Ag6_Rmeas_pct,MoOx5_Ag6_Rcorr_pct,MoOx5_Ag6_A_pct,MoOx5_Ag7_T_pct,MoOx5_Ag7_Rmeas_pct,MoOx5_Ag7_Rcorr_pct,MoOx5_Ag7_A_pct,MoOx5_Ag8_T_pct,MoOx5_Ag8_Rmeas_pct,MoOx5_Ag8_Rcorr_pct,MoOx5_Ag8_A_pct,MoOx5_Ag10_T_pct,MoOx5_Ag10_Rmeas_pct,MoOx5_Ag10_Rcorr_pct,MoOx5_Ag10_A_pct,MoOx5_Ag12_T_pct,MoOx5_Ag12_Rmeas_pct,MoOx5_Ag12_Rcorr_pct,MoOx5_Ag12_A_pct
830,57.5491,19.4582,19.6848,22.7661,60.4132,25.3469,25.5966,13.9902,58.9586,29.1181,29.3560,11.6854,53.7422,37.5418,37.7394,8.5184,46.0637,46.2894,46.4345,7.5017,40.5312,51.7096,51.8220,7.6469,30.9543,62.4299,62.4954,6.5503,,,,,61.2038,13.5172,13.7735,25.0227,61.1399,14.7465,15.0023,23.8578,59.9901,17.1308,17.3770,22.6329,60.7264,23.9784,24.2307,15.0429,47.8961,30.8879,31.0449,21.0590,42.3619,38.3329,38.4557,19.1824,,,,
828,57.8933,19.8453,20.0746,22.0321,60.3738,25.0993,25.3487,14.2776,58.8316,28.9924,29.2292,11.9392,54.0118,38.3234,38.5230,7.4652,46.6635,45.1108,45.2598,8.0767,40.4928,52.3036,52.4158,7.0914,31.3838,62.0457,62.1131,6.5031,,,,,61.7982,13.7084,13.9697,24.2320,60.9215,15.0169,15.2708,23.8077,60.3324,16.4174,16.6665,23.0011,61.0297,24.1203,24.3751,14.5952,47.6295,31.2200,31.3752,20.9952,42.2696,37.8807,38.0030,19.7275,,,,
826,58.0531,19.6165,19.8471,22.0998,60.6714,25.2114,25.4633,13.8653,58.9230,28.8748,29.1124,11.9646,54.1475,38.1462,38.3468,7.5057,45.9168,45.7859,45.9302,8.1530,41.0540,52.1488,52.2641,6.6820,31.7028,62.5959,62.6647,5.6325,,,,,61.4739,13.9979,14.2565,24.2696,61.0407,15.0454,15.3004,23.6588,60.1754,16.7473,16.9951,22.8295,60.9541,23.5726,23.8268,15.2191,47.8717,30.7661,30.9230,21.2054,42.3271,37.9346,38.0572,19.6156,,,,
824,57.6874,19.4909,19.7187,22.5939,60.7005,24.9278,25.1799,14.1196,59.0184,28.8409,29.0793,11.9023,53.5555,37.4226,37.6189,8.8257,46.6276,45.7191,45.8678,7.5045,41.1845,51.3278,51.4438,7.3716,31.9420,61.8213,61.8912,6.1668,,,,,61.4554,13.6548,13.9133,24.6313,60.8090,14.9300,15.1830,24.0079,60.3412,16.8222,17.0714,22.5874,60.8702,23.3395,23.5931,15.5367,47.9559,30.4317,30.5891,21.4550,42.8965,38.0126,38.1385,18.9649,,,,
822,57.9462,19.7355,19.9653,22.0885,60.7556,24.8661,25.1187,14.1257,59.2392,28.6139,28.8541,11.9067,54.0111,37.2853,37.4849,8.5039,47.2890,45.5195,45.6726,7.0384,41.2055,50.5846,50.7008,8.0938,31.7881,62.6060,62.6751,5.5368,,,,,61.4950,14.1339,14.3928,24.1122,60.8714,14.7422,14.9958,24.1328,60.5127,16.8310,17.0816,22.4057,61.1199,23.7320,23.9877,14.8924,47.8629,29.8756,30.0324,22.1048,42.1452,38.4518,38.5734,19.2814,,,,
820,57.8860,19.4858,19.7151,22.3989,60.7959,24.9054,25.1584,14.0457,59.1106,28.5984,28.8375,12.0519,54.4999,36.8850,37.0883,8.4118,46.8168,45.3073,45.4573,7.7259,41.2291,51.6246,51.7410,7.0300,31.9425,61.8027,61.8725,6.1850,,,,,61.0481,14.0884,14.3435,24.6084,60.9266,14.9749,15.2290,23.8445,60.1536,16.7218,16.9694,22.8770,61.2063,23.3180,23.5744,15.2193,47.9250,30.4632,30.6204,21.4546,43.1065,38.0868,38.2140,18.6796,,,,
818,57.8409,19.2868,19.5158,22.6433,60.9651,24.7207,24.9751,14.0597,59.5102,28.1561,28.3986,12.0913,54.8038,37.5301,37.7357,7.4604,46.9288,45.2675,45.4182,7.6530,41.2452,51.1209,51.2373,7.5175,31.7387,61.7776,61.8466,6.4147,,,,,62.2201,13.5808,13.8458,23.9341,61.0577,14.7588,15.0140,23.9284,60.1524,16.1401,16.3878,23.4599,60.9955,22.9710,23.2257,15.7788,47.6364,30.0464,30.2018,22.1619,43.0586,37.6773,37.8042,19.1373,,,,
816,57.9155,19.9272,20.1568,21.9277,60.6610,24.8258,25.0777,14.2613,59.3047,28.9532,29.1940,11.5014,54.2610,37.4105,37.6120,8.1270,47.5647,45.1003,45.2552,7.1801,41.9190,50.6065,50.7268,7.3543,32.3300,60.9849,61.0564,6.6136,,,,,61.2845,14.2658,14.5229,24.1926,61.0949,15.2643,15.5198,23.3852,60.7288,16.8617,17.1142,22.1571,61.1852,23.3185,23.5748,15.2400,48.2292,30.5372,30.6964,21.0744,43.1363,37.4627,37.5900,19.2736,,,,
814,57.9042,19.7098,19.9394,22.1564,61.4934,24.9479,25.2068,13.2999,59.6113,28.4446,28.6879,11.7009,55.4557,37.9895,38.2000,6.3443,47.0854,45.1749,45.3267,7.5878,42.0988,50.7418,50.8631,7.0380,32.0391,61.3932,61.4635,6.4974,,,,,61.3297,14.3531,14.6106,24.0596,61.1704,15.2798,15.5360,23.2936,60.3329,16.7788,17.0280,22.6391,60.9763,23.0018,23.2563,15.7673,48.1444,30.7770,30.9356,20.9199,43.4150,37.7886,37.9177,18.6674,,,,
812,58.0161,19.2204,19.4509,22.5330,61.1255,24.9388,25.1946,13.6799,59.9992,28.4168,28.6633,11.3374,54.8237,37.5167,37.7225,7.4538,47.8549,44.4382,44.5950,7.5501,42.2909,50.9087,51.0312,6.6779,32.0596,61.5435,61.6139,6.3266,,,,,61.7810,13.7749,14.0362,24.1828,60.8144,15.1578,15.4110,23.7745,60.6042,16.7414,16.9928,22.4029,61.0575,22.8043,23.0595,15.8830,47.7055,30.6779,30.8337,21.4608,43.0325,38.0425,38.1693,18.7983,,,,
